Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2017-06-04,0,0,2279,172792.0,Enxurradas,2017/2018,5706.1,2017-06-08,1.77,1.73,1.72,86720000,1317.3410404624278,99879.76878612716,3738
2011-08-29,0,0,0,0.0,Enxurradas,2011/2012,13323.5,2011-07-21,34.5,17.05,17.56,86720000,,,3738
2011-03-28,0,0,0,0.0,Enxurradas,2011/2012,13323.5,2011-07-21,34.5,17.05,17.56,86720000,,,3738
2009-11-25,0,0,0,1893050.0,Enxurradas,2009/2010,9342.3,2009-09-12,3.45,4.63,4.69,86720000,,408866.090712743,3738
1994-12-19,0,0,0,0.0,Enxurradas,1994/1995,4236.9,1994-07-02,1.33,1.31,1.3,86720000,,,3738
1993-07-22,0,0,0,0.0,Enxurradas,1993/1994,6853.9,1993-07-05,2.56,2.28,2.28,86720000,,,3738
2017-06-04,0,0,2279,172792.0,Enxurradas,2017/2018,1252.0,2017-06-08,10.75,13.46,10.83,86560000,169.31649331352153,12837.44427934621,3738
2011-08-29,0,0,0,0.0,Enxurradas,2011/2012,538.3,2011-03-28,1.43,1.37,1.41,86560000,,,3738
2011-03-28,0,0,0,0.0,Enxurradas,2011/2012,538.3,2011-03-28,1.43,1.37,1.41,86560000,,,3738
2009-11-25,0,0,0,1893050.0,Enxurradas,2009/2010,950.8,2009-09-12,3.74,4.02,4.06,86560000,,470907.960199005,3738
1994-12-19,0,0,0,0.0,Enxurradas,1994/1995,807.1,1994-07-07,2.61,2.54,2.66,86560000,,,3738
1993-07-22,0,0,0,0.0,Enxurradas,1993/1994,985.6,1993-07-05,3.91,4.56,4.52,86560000,,,3738
2017-06-04,0,0,2279,172792.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,466.05316973415137,35335.7873210634,3738
2011-08-29,0,0,0,0.0,Enxurradas,2011/2012,21334.8,2011-08-31,5.5,5.66,6.04,74100000,,,3738
2011-03-28,0,0,0,0.0,Enxurradas,2011/2012,21334.8,2011-08-31,5.5,5.66,6.04,74100000,,,3738
2009-11-25,0,0,0,1893050.0,Enxurradas,2009/2010,20928.6,2009-09-29,4.4,5.4,5.69,74100000,,350564.8148148148,3738
1994-12-19,0,0,0,0.0,Enxurradas,1994/1995,11496.5,1994-07-06,1.89,1.84,1.7,74100000,,,3738
1993-07-22,0,0,0,0.0,Enxurradas,1993/1994,10311.3,1993-06-06,1.69,1.63,1.52,74100000,,,3738
2017-06-04,0,0,2279,172792.0,Enxurradas,2017/2018,949.7,2017-05-31,3.0,2.83,3.0,72630000,805.3003533568905,61057.24381625441,3738
2011-08-29,0,0,0,0.0,Enxurradas,2011/2012,1119.6,2011-07-21,4.6,5.52,5.16,72630000,,,3738
2011-03-28,0,0,0,0.0,Enxurradas,2011/2012,1119.6,2011-07-21,4.6,5.52,5.16,72630000,,,3738
2009-11-25,0,0,0,1893050.0,Enxurradas,2009/2010,877.2,2009-09-13,2.16,2.25,2.43,72630000,,841355.5555555555,3738
1994-12-19,0,0,0,0.0,Enxurradas,1994/1995,820.8,1994-07-02,1.92,1.92,2.08,72630000,,,3738
1993-07-22,0,0,0,0.0,Enxurradas,1993/1994,1319.5,1993-07-04,13.8,15.03,10.29,72630000,,,3738
