Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-24,0,0,16729,55000.0,Chuvas Intensas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,2854.778156996587,9385.66552901024,16344
2023-09-14,0,0,15,0.0,Enxurradas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,2.5597269624573378,,16344
2023-08-07,0,0,20,0.0,Movimento de Massa,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,3.41296928327645,,16344
2017-01-06,0,0,500,1538500.0,Enxurradas,2017/2018,2988.9,2017-05-28,12.43,6.12,4.73,85400000,81.69934640522875,251388.88888888888,16344
2015-12-31,0,0,7011,3686004.0,Chuvas Intensas,2015/2016,3075.6,2015-12-25,17.4,7.35,5.24,85400000,953.8775510204082,501497.1428571429,16344
2015-10-15,0,0,1000,2286002.0,Enxurradas,2015/2016,3075.6,2015-12-25,17.4,7.35,5.24,85400000,136.0544217687075,311020.6802721089,16344
2013-11-18,0,0,0,860000.0,Enxurradas,2013/2014,2161.6,2013-11-12,1.64,1.79,1.98,85400000,,480446.92737430165,16344
2010-11-30,0,0,0,0.0,Enxurradas,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,85400000,,,16344
2010-01-05,3,0,106,0.0,Enxurradas,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,85400000,12.864077669902912,,16344
2009-11-30,0,0,0,0.0,Enxurradas,2009/2010,2497.5,2009-09-28,2.12,2.64,2.74,85400000,,,16344
2023-11-24,0,0,16729,55000.0,Chuvas Intensas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,2854.778156996587,9385.66552901024,16344
2023-09-14,0,0,15,0.0,Enxurradas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,2.5597269624573378,,16344
2023-08-07,0,0,20,0.0,Movimento de Massa,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,3.41296928327645,,16344
2017-01-06,0,0,500,1538500.0,Enxurradas,2017/2018,2988.9,2017-05-28,12.43,6.12,4.73,85400000,81.69934640522875,251388.88888888888,16344
2015-12-31,0,0,7011,3686004.0,Chuvas Intensas,2015/2016,3075.6,2015-12-25,17.4,7.35,5.24,85400000,953.8775510204082,501497.1428571429,16344
2015-10-15,0,0,1000,2286002.0,Enxurradas,2015/2016,3075.6,2015-12-25,17.4,7.35,5.24,85400000,136.0544217687075,311020.6802721089,16344
2013-11-18,0,0,0,860000.0,Enxurradas,2013/2014,2161.6,2013-11-12,1.64,1.79,1.98,85400000,,480446.92737430165,16344
2010-11-30,0,0,0,0.0,Enxurradas,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,85400000,,,16344
2010-01-05,3,0,106,0.0,Enxurradas,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,85400000,12.864077669902912,,16344
2009-11-30,0,0,0,0.0,Enxurradas,2009/2010,2497.5,2009-09-28,2.12,2.64,2.74,85400000,,,16344
