Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-12-07,0,0,88,154000.0,Enxurradas,2023/2024,31203.6,2023-11-20,32.0,56.32,30.37,75550000,1.5625,2734.375,6951
2023-11-28,0,0,6720,435700.0,Chuvas Intensas,2023/2024,31203.6,2023-11-20,32.0,56.32,30.37,75550000,119.3181818181818,7736.150568181818,6951
2020-07-21,0,0,8,0.0,Alagamentos,2020/2021,11102.3,2020-07-10,1.45,1.44,1.48,75550000,5.555555555555555,,6951
2017-06-09,0,0,6,700000.0,Enxurradas,2017/2018,22607.4,2017-06-03,8.0,7.99,7.16,75550000,0.7509386733416771,87609.51188986232,6951
2017-05-30,0,0,2517,150000.0,Enxurradas,2017/2018,22607.4,2017-06-03,8.0,7.99,7.16,75550000,315.0187734668335,18773.466833541926,6951
2011-03-27,0,0,5926,0.0,Enxurradas,2011/2012,15718.3,2011-07-24,2.91,2.43,2.53,75550000,2438.6831275720165,,6951
2009-12-10,0,0,0,3241000.0,Enxurradas,2009/2010,13304.4,2009-09-15,1.88,1.79,1.87,75550000,,1810614.5251396648,6951
1992-06-02,0,0,0,0.0,Inundações,1992/1993,22574.1,1992-06-01,6.4,7.94,7.12,75550000,,,6951
2023-12-07,0,0,88,154000.0,Enxurradas,2023/2024,2480.0,2023-11-18,42.5,30.83,51.83,75230000,2.8543626337982486,4995.134609146935,6951
2023-11-28,0,0,6720,435700.0,Chuvas Intensas,2023/2024,2480.0,2023-11-18,42.5,30.83,51.83,75230000,217.9695102173208,14132.338631203374,6951
2020-07-21,0,0,8,0.0,Alagamentos,2020/2021,1849.8,2020-07-10,8.5,9.83,11.71,75230000,0.8138351983723296,,6951
2017-06-09,0,0,6,700000.0,Enxurradas,2017/2018,2294.1,2017-06-10,21.25,22.13,33.26,75230000,0.2711251694532309,31631.269769543607,6951
2017-05-30,0,0,2517,150000.0,Enxurradas,2017/2018,2294.1,2017-06-10,21.25,22.13,33.26,75230000,113.73700858563038,6778.129236330773,6951
2011-03-27,0,0,5926,0.0,Enxurradas,2011/2012,1449.9,2011-03-29,5.67,4.69,4.78,75230000,1263.5394456289978,,6951
2009-12-10,0,0,0,3241000.0,Enxurradas,2009/2010,1176.3,2009-08-10,3.27,2.86,2.74,75230000,,1133216.7832167833,6951
1992-06-02,0,0,0,0.0,Inundações,1992/1993,6369.1,1992-05-29,85.0,9206.76,617300.93,75230000,,,6951
