Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2019-05-13,0,0,0,0.0,Enxurradas,2019/2020,1738.4,2019-05-29,1.42,1.46,1.46,73960000,,,5885,
2014-07-04,0,0,5060,450000.0,Enxurradas,2014/2015,4893.4,2014-06-28,18.0,26.11,26.81,73960000,193.79548065875144,17234.775947912676,5885,
2011-06-22,0,0,0,0.0,Enxurradas,2011/2012,3082.5,2011-06-22,3.86,4.17,4.22,73960000,,,5885,
2011-03-31,0,0,0,1531890.0,Enxurradas,2011/2012,3082.5,2011-06-22,3.86,4.17,4.22,73960000,,367359.71223021584,5885,
2010-04-26,0,0,0,671700.0,Enxurradas,2010/2011,2706.1,2010-04-26,3.0,2.97,2.99,73960000,,226161.6161616161,5885,
2019-05-13,0,0,0,0.0,Enxurradas,2019/2020,515.2,2019-05-12,1.63,1.68,1.55,73350000,,,5885,Sim
2014-07-04,0,0,5060,450000.0,Enxurradas,2014/2015,1888.1,2014-06-27,57.0,44.8,141.23,73350000,112.94642857142858,10044.642857142857,5885,Sim
2011-06-22,0,0,0,0.0,Enxurradas,2011/2012,755.2,2011-06-22,2.85,3.05,2.85,73350000,,,5885,Sim
2011-03-31,0,0,0,1531890.0,Enxurradas,2011/2012,755.2,2011-06-22,2.85,3.05,2.85,73350000,,502259.0163934426,5885,Sim
2010-04-26,0,0,0,671700.0,Enxurradas,2010/2011,1155.0,2010-04-26,7.12,8.42,10.36,73350000,,79774.34679334916,5885,Sim
2019-05-13,0,0,0,0.0,Enxurradas,2019/2020,1332.0,2019-05-31,3.15,2.47,2.6,72849000,,,5885,
2014-07-04,0,0,5060,450000.0,Enxurradas,2014/2015,2567.0,2014-06-27,41.0,51.9,22.82,72849000,97.495183044316,8670.520231213874,5885,
2011-06-22,0,0,0,0.0,Enxurradas,2011/2012,1893.0,2011-09-09,6.83,7.77,6.59,72849000,,,5885,
2011-03-31,0,0,0,1531890.0,Enxurradas,2011/2012,1893.0,2011-09-09,6.83,7.77,6.59,72849000,,197154.44015444015,5885,
2010-04-26,0,0,0,671700.0,Enxurradas,2010/2011,1849.8,2010-04-23,5.86,7.01,6.1,72849000,,95820.25677603424,5885,
2019-05-13,0,0,0,0.0,Enxurradas,2019/2020,729.3,2019-05-12,1.21,1.22,1.23,72680000,,,5885,
2014-07-04,0,0,5060,450000.0,Enxurradas,2014/2015,2224.5,2014-06-27,29.0,37.08,26.03,72680000,136.46170442286947,12135.922330097088,5885,
2011-06-22,0,0,0,0.0,Enxurradas,2011/2012,1525.1,2011-07-22,5.44,5.02,4.92,72680000,,,5885,
2011-03-31,0,0,0,1531890.0,Enxurradas,2011/2012,1525.1,2011-07-22,5.44,5.02,4.92,72680000,,305157.3705179283,5885,
2010-04-26,0,0,0,671700.0,Enxurradas,2010/2011,1275.2,2010-09-24,3.0,2.82,2.89,72680000,,238191.48936170212,5885,
2019-05-13,0,0,0,0.0,Enxurradas,2019/2020,250.8,2019-06-01,1.24,1.21,1.19,72430000,,,5885,
2014-07-04,0,0,5060,450000.0,Enxurradas,2014/2015,663.6,2014-06-28,8.5,9.1,10.1,72430000,556.0439560439561,49450.54945054945,5885,
2011-06-22,0,0,0,0.0,Enxurradas,2011/2012,615.2,2011-07-22,6.8,6.9,7.37,72430000,,,5885,
2011-03-31,0,0,0,1531890.0,Enxurradas,2011/2012,615.2,2011-07-22,6.8,6.9,7.37,72430000,,222013.0434782609,5885,
2010-04-26,0,0,0,671700.0,Enxurradas,2010/2011,461.2,2010-09-24,2.83,2.95,2.9,72430000,,227694.91525423728,5885,
2019-05-13,0,0,0,0.0,Enxurradas,2019/2020,221.2,2019-07-03,1.62,1.58,1.6,70500000,,,5885,
2014-07-04,0,0,5060,450000.0,Enxurradas,2014/2015,358.9,2014-09-29,4.5,4.09,4.1,70500000,1237.1638141809292,110024.4498777506,5885,
2011-06-22,0,0,0,0.0,Enxurradas,2011/2012,484.6,2011-08-09,16.2,12.84,11.74,70500000,,,5885,
2011-03-31,0,0,0,1531890.0,Enxurradas,2011/2012,484.6,2011-08-09,16.2,12.84,11.74,70500000,,119306.07476635514,5885,
2010-04-26,0,0,0,671700.0,Enxurradas,2010/2011,254.4,2010-06-18,1.72,1.91,1.94,70500000,,351675.3926701571,5885,
2019-05-13,0,0,0,0.0,Enxurradas,2019/2020,536.2,2019-07-03,1.32,1.4,1.33,70300000,,,5885,
2014-07-04,0,0,5060,450000.0,Enxurradas,2014/2015,1036.7,2014-10-14,2.86,2.91,2.72,70300000,1738.8316151202748,154639.17525773196,5885,
2011-06-22,0,0,0,0.0,Enxurradas,2011/2012,1529.4,2011-08-30,7.55,6.38,7.09,70300000,,,5885,
2011-03-31,0,0,0,1531890.0,Enxurradas,2011/2012,1529.4,2011-08-30,7.55,6.38,7.09,70300000,,240108.15047021944,5885,
2010-04-26,0,0,0,671700.0,Enxurradas,2010/2011,817.7,2010-04-26,2.08,2.07,1.9,70300000,,324492.7536231884,5885,
2019-05-13,0,0,0,0.0,Enxurradas,2019/2020,1397.3,2019-07-03,3.26,3.37,3.36,70200000,,,5885,
