Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-12-05,0,2,1129,4675052.97,Inundações,2023/2024,,,,,,87401600,,,212352,
2015-10-21,0,0,10684,12329778.0,Inundações,2015/2016,4.5,2015-11-28,1.1,1.04,1.05,87401600,10273.076923076922,11855555.769230768,212352,
2015-07-21,0,2,11351,37812850.0,Inundações,2015/2016,4.5,2015-11-28,1.1,1.04,1.05,87401600,10914.423076923076,36358509.615384616,212352,
2013-09-04,0,17,1388,15311406.45,Inundações,2013/2014,18.6,2013-08-30,22.0,62.52,11.83,87401600,22.20089571337172,244904.13387715927,212352,
2012-06-15,0,0,1200,10000.0,Inundações,2012/2013,11.5,2012-01-17,1.69,2.36,2.47,87401600,508.4745762711865,4237.28813559322,212352,
2010-01-05,0,0,0,0.0,Enxurradas,2010/2011,10.5,2010-02-17,1.38,1.87,2.06,87401600,,,212352,
2023-12-05,0,2,1129,4675052.97,Inundações,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,108.5576923076923,449524.3240384615,212352,Sim
2015-10-21,0,0,10684,12329778.0,Inundações,2015/2016,213.4,2015-07-24,24.0,53.01,26.48,87399000,201.54687794755708,232593.4352009055,212352,Sim
2015-07-21,0,2,11351,37812850.0,Inundações,2015/2016,213.4,2015-07-24,24.0,53.01,26.48,87399000,214.1294095453688,713315.41218638,212352,Sim
2013-09-04,0,17,1388,15311406.45,Inundações,2013/2014,224.6,2013-08-30,48.0,85.06,35.97,87399000,16.31789325182224,180007.12967317188,212352,Sim
2012-06-15,0,0,1200,10000.0,Inundações,2012/2013,165.6,2012-09-22,8.0,8.64,7.39,87399000,138.88888888888889,1157.4074074074074,212352,Sim
2010-01-05,0,0,0,0.0,Enxurradas,2010/2011,106.6,2010-07-25,1.71,1.8,1.9,87399000,,,212352,Sim
2023-12-05,0,2,1129,4675052.97,Inundações,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,108.5576923076923,449524.3240384615,212352,Sim
2015-10-21,0,0,10684,12329778.0,Inundações,2015/2016,213.4,2015-07-24,24.0,53.01,26.48,87399000,201.54687794755708,232593.4352009055,212352,Sim
2015-07-21,0,2,11351,37812850.0,Inundações,2015/2016,213.4,2015-07-24,24.0,53.01,26.48,87399000,214.1294095453688,713315.41218638,212352,Sim
2013-09-04,0,17,1388,15311406.45,Inundações,2013/2014,224.6,2013-08-30,48.0,85.06,35.97,87399000,16.31789325182224,180007.12967317188,212352,Sim
2012-06-15,0,0,1200,10000.0,Inundações,2012/2013,165.6,2012-09-22,8.0,8.64,7.39,87399000,138.88888888888889,1157.4074074074074,212352,Sim
2010-01-05,0,0,0,0.0,Enxurradas,2010/2011,106.6,2010-07-25,1.71,1.8,1.9,87399000,,,212352,Sim
