Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-19,0,0,6355,30500.0,Chuvas Intensas,2023/2024,4946.4,2023-09-14,61.0,31.37,14.18,87905000,202.58208479438957,972.266496652853,7136,Sim
2017-03-21,0,0,1599,4965.0,Chuvas Intensas,2017/2018,2811.5,2017-10-23,1.91,1.87,2.06,87905000,855.0802139037432,2655.0802139037432,7136,Sim
2015-10-22,0,0,0,0.0,Chuvas Intensas,2015/2016,3752.1,2015-07-21,4.07,4.72,4.49,87905000,,,7136,Sim
2012-09-19,0,0,0,285600.0,Inundações,2012/2013,3117.1,2012-09-19,2.54,2.4,2.6,87905000,,119000.0,7136,Sim
2010-11-20,0,0,0,0.0,Enxurradas,2010/2011,2453.1,2010-07-23,1.45,1.5,1.61,87905000,,,7136,Sim
2010-06-23,0,0,0,0.0,Enxurradas,2010/2011,2453.1,2010-07-23,1.45,1.5,1.61,87905000,,,7136,Sim
2009-11-18,0,0,0,0.0,Enxurradas,2009/2010,4710.9,2009-11-20,10.17,20.29,11.22,87905000,,,7136,Sim
2002-10-07,0,0,0,0.0,Inundações,2002/2003,4006.0,2002-12-07,6.1,6.6,5.68,87905000,,,7136,Sim
2001-05-02,0,0,0,0.0,Enxurradas,2001/2002,4197.4,2001-09-09,7.62,8.71,6.81,87905000,,,7136,Sim
1994-03-08,0,0,0,0.0,Enxurradas,1994/1995,2869.4,1994-08-02,2.1,1.96,2.15,87905000,,,7136,Sim
1992-04-22,0,0,0,0.0,Inundações,1992/1993,4915.0,1992-04-15,20.33,29.55,13.74,87905000,,,7136,Sim
