Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-10-13,0,0,3000,100000.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,1027.3972602739727,34246.57534246575,7396,
2019-05-13,0,0,5000,158400.0,Enxurradas,2019/2020,10404.0,2019-05-13,1.89,2.48,1.55,74500000,2016.1290322580649,63870.967741935485,7396,
2017-06-12,0,0,5253,404511.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,1889.5683453237407,145507.55395683454,7396,
2015-07-22,0,0,380,46513.0,Enxurradas,2015/2016,21334.6,2015-07-15,5.67,2.86,8.38,74500000,132.86713286713288,16263.286713286714,7396,
2014-10-06,0,0,1300,70000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,420.7119741100324,22653.721682847896,7396,
2014-07-04,0,0,8,42400.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,2.5889967637540456,13721.68284789644,7396,
2010-11-27,0,0,0,0.0,Enxurradas,2010/2011,,,,,,74500000,,,7396,
2010-06-23,0,0,0,0.0,Enxurradas,2010/2011,,,,,,74500000,,,7396,
2005-09-12,0,0,0,0.0,Enxurradas,2005/2006,,,,,,74500000,,,7396,
2023-10-13,0,0,3000,100000.0,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,1111.111111111111,37037.03703703704,7396,Sim
2019-05-13,0,0,5000,158400.0,Enxurradas,2019/2020,1281.3,2019-05-31,1.35,1.38,1.35,74270000,3623.188405797102,114782.60869565218,7396,Sim
2017-06-12,0,0,5253,404511.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,991.1320754716982,76322.83018867925,7396,Sim
2015-07-22,0,0,380,46513.0,Enxurradas,2015/2016,4426.1,2015-12-15,14.17,21.99,26.35,74270000,17.280582082764894,2115.1887221464303,7396,Sim
2014-10-06,0,0,1300,70000.0,Enxurradas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,53.43197698314838,2877.106452938759,7396,Sim
2014-07-04,0,0,8,42400.0,Enxurradas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,0.3288121660501439,1742.7044800657625,7396,Sim
2010-11-27,0,0,0,0.0,Enxurradas,2010/2011,2622.4,2010-04-27,4.05,3.87,3.9,74270000,,,7396,Sim
2010-06-23,0,0,0,0.0,Enxurradas,2010/2011,2622.4,2010-04-27,4.05,3.87,3.9,74270000,,,7396,Sim
2005-09-12,0,0,0,0.0,Enxurradas,2005/2006,3183.7,2005-06-14,7.73,6.54,6.87,74270000,,,7396,Sim
