Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-09-02,0,0,6010,6040000.0,Chuvas Intensas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,439.0065741417093,441197.95471146825,5941
2015-11-12,0,0,2200,1445649.0,Movimento de Massa,2015/2016,9802.4,2015-10-09,3.63,5.34,5.42,86720000,411.98501872659176,270720.786516854,5941
2015-10-22,0,0,600,30015.0,Movimento de Massa,2015/2016,9802.4,2015-10-09,3.63,5.34,5.42,86720000,112.35955056179776,5620.786516853933,5941
2015-07-09,0,0,0,80017.0,Inundações,2015/2016,9802.4,2015-10-09,3.63,5.34,5.42,86720000,,14984.456928838952,5941
2013-11-28,0,0,0,336376.0,Enxurradas,2013/2014,9120.5,2013-08-25,3.29,4.32,4.37,86720000,,77864.8148148148,5941
2011-07-20,0,0,0,258000.0,Enxurradas,2011/2012,13323.5,2011-07-21,34.5,17.05,17.56,86720000,,15131.964809384164,5941
2011-03-26,0,0,0,0.0,Enxurradas,2011/2012,13323.5,2011-07-21,34.5,17.05,17.56,86720000,,,5941
2010-01-04,0,0,511,0.0,Enxurradas,2010/2011,6296.1,2010-09-23,2.09,1.98,1.98,86720000,258.0808080808081,,5941
2008-01-04,0,0,0,0.0,Enxurradas,2008/2009,12193.7,2008-10-26,7.67,11.64,11.94,86720000,,,5941
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86720000,,,5941
2023-09-02,0,0,6010,6040000.0,Chuvas Intensas,2023/2024,832.5,2023-07-13,2.87,2.73,2.86,86560000,2201.465201465201,2212454.2124542124,5941
2015-11-12,0,0,2200,1445649.0,Movimento de Massa,2015/2016,891.7,2015-09-20,3.44,3.29,3.39,86560000,668.693009118541,439406.990881459,5941
2015-10-22,0,0,600,30015.0,Movimento de Massa,2015/2016,891.7,2015-09-20,3.44,3.29,3.39,86560000,182.370820668693,9123.100303951367,5941
2015-07-09,0,0,0,80017.0,Inundações,2015/2016,891.7,2015-09-20,3.44,3.29,3.39,86560000,,24321.27659574468,5941
2013-11-28,0,0,0,336376.0,Enxurradas,2013/2014,785.1,2013-08-25,2.39,2.38,2.5,86560000,,141334.45378151262,5941
2011-07-20,0,0,0,258000.0,Enxurradas,2011/2012,538.3,2011-03-28,1.43,1.37,1.41,86560000,,188321.1678832117,5941
2011-03-26,0,0,0,0.0,Enxurradas,2011/2012,538.3,2011-03-28,1.43,1.37,1.41,86560000,,,5941
2010-01-04,0,0,511,0.0,Enxurradas,2010/2011,1020.9,2010-01-05,4.78,5.19,5.06,86560000,98.45857418111753,,5941
2008-01-04,0,0,0,0.0,Enxurradas,2008/2009,926.2,2008-11-02,3.58,3.7,3.77,86560000,,,5941
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1283.4,2001-10-01,14.33,15.5,12.05,86560000,,,5941
