Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2020-07-08,0,10,4780,3535850.0,Inundações,2020/2021,14003.0,2020-07-08,69.0,21.5,22.19,86720000,222.32558139534885,164458.13953488372,21121
2017-06-09,0,0,8030,1363855.0,Enxurradas,2017/2018,5706.1,2017-06-08,1.77,1.73,1.72,86720000,4641.618497109826,788355.4913294797,21121
2017-05-27,0,0,7883,800000.0,Inundações,2017/2018,5706.1,2017-06-08,1.77,1.73,1.72,86720000,4556.647398843931,462427.7456647399,21121
2016-10-19,0,0,88,0.0,Inundações,2016/2017,10429.0,2016-10-20,4.6,6.52,6.64,86720000,13.496932515337424,,21121
2013-09-04,0,0,150,2339761.04,Inundações,2013/2014,9120.5,2013-08-25,3.29,4.32,4.37,86720000,34.72222222222222,541611.3518518518,21121
2010-01-04,0,0,4121,1704660.0,Enxurradas,2010/2011,6296.1,2010-09-23,2.09,1.98,1.98,86720000,2081.313131313131,860939.3939393939,21121
2008-10-26,0,0,800,0.0,Inundações,2008/2009,12193.7,2008-10-26,7.67,11.64,11.94,86720000,68.72852233676976,,21121
2000-02-23,0,0,0,0.0,Inundações,2000/2001,,,,,,86720000,,,21121
1997-08-04,0,0,0,0.0,Enxurradas,1997/1998,12205.0,1997-08-04,8.62,11.69,11.99,86720000,,,21121
1992-06-02,0,0,0,0.0,Inundações,1992/1993,12126.5,1992-05-28,6.9,11.38,11.67,86720000,,,21121
