Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-09-06,0,0,10422,10000000.0,Chuvas Intensas,2023/2024,395.4,2023-10-17,1.66,1.69,1.67,86745000,6166.863905325444,5917159.76331361,10422
2011-07-20,0,0,6355,2621000.0,Enxurradas,2011/2012,421.2,2011-07-21,1.89,1.84,1.82,86745000,3453.804347826087,1424456.5217391304,10422
2011-04-22,0,0,0,0.0,Enxurradas,2011/2012,421.2,2011-07-21,1.89,1.84,1.82,86745000,,,10422
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,1292.3,2010-01-04,68.0,106.28,129.32,86745000,,,10422
2009-12-08,0,0,0,787000.0,Enxurradas,2009/2010,508.4,2009-08-10,2.72,2.53,2.54,86745000,,311067.19367588934,10422
2023-09-06,0,0,10422,10000000.0,Chuvas Intensas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,761.2856099342586,730460.1899196494,10422
2011-07-20,0,0,6355,2621000.0,Enxurradas,2011/2012,13323.5,2011-07-21,34.5,17.05,17.56,86720000,372.7272727272727,153724.34017595308,10422
2011-04-22,0,0,0,0.0,Enxurradas,2011/2012,13323.5,2011-07-21,34.5,17.05,17.56,86720000,,,10422
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,6296.1,2010-09-23,2.09,1.98,1.98,86720000,,,10422
2009-12-08,0,0,0,787000.0,Enxurradas,2009/2010,9342.3,2009-09-12,3.45,4.63,4.69,86720000,,169978.40172786178,10422
2023-09-06,0,0,10422,10000000.0,Chuvas Intensas,2023/2024,832.5,2023-07-13,2.87,2.73,2.86,86560000,3817.5824175824177,3663003.663003663,10422
2011-07-20,0,0,6355,2621000.0,Enxurradas,2011/2012,538.3,2011-03-28,1.43,1.37,1.41,86560000,4638.686131386861,1913138.6861313868,10422
2011-04-22,0,0,0,0.0,Enxurradas,2011/2012,538.3,2011-03-28,1.43,1.37,1.41,86560000,,,10422
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,1020.9,2010-01-05,4.78,5.19,5.06,86560000,,,10422
2009-12-08,0,0,0,787000.0,Enxurradas,2009/2010,950.8,2009-09-12,3.74,4.02,4.06,86560000,,195771.14427860695,10422
