Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-07,0,0,3396,300000.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,152.69784172661872,13489.208633093524,3517
2019-03-06,0,0,2602,893500.0,Enxurradas,2019/2020,11210.7,2019-05-31,1.83,1.79,1.66,74100000,1453.6312849162011,499162.0111731843,3517
2017-05-30,0,0,2128,150000.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,435.1738241308794,30674.846625766877,3517
2014-07-03,0,0,2,708043.82,Enxurradas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,0.182648401826484,64661.53607305936,3517
2011-02-09,0,0,0,0.0,Enxurradas,2011/2012,21334.8,2011-08-31,5.5,5.66,6.04,74100000,,,3517
2023-10-07,0,0,3396,300000.0,Chuvas Intensas,2023/2024,2039.9,2023-11-17,17.4,21.02,16.56,72680000,161.5604186489058,14272.121788772598,3517
2019-03-06,0,0,2602,893500.0,Enxurradas,2019/2020,729.3,2019-05-12,1.21,1.22,1.23,72680000,2132.786885245902,732377.0491803279,3517
2017-05-30,0,0,2128,150000.0,Enxurradas,2017/2018,1646.0,2017-05-31,7.25,6.85,6.48,72680000,310.6569343065694,21897.810218978106,3517
2014-07-03,0,0,2,708043.82,Enxurradas,2014/2015,2224.5,2014-06-27,29.0,37.08,26.03,72680000,0.0539374325782092,19095.03290183387,3517
2011-02-09,0,0,0,0.0,Enxurradas,2011/2012,1525.1,2011-07-22,5.44,5.02,4.92,72680000,,,3517
