Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-18,0,0,5742,615000.0,Enxurradas,2023/2024,1250.0,2023-06-17,48.0,59.07,14.59,87170000,97.20670391061452,10411.376333164042,6232
2023-06-15,0,0,20,180000.0,Chuvas Intensas,2023/2024,1250.0,2023-06-17,48.0,59.07,14.59,87170000,0.3385813441679363,3047.232097511427,6232
2015-10-27,0,0,0,0.0,Movimento de Massa,2015/2016,982.9,2015-10-09,4.36,5.15,4.5,87170000,,,6232
2015-07-15,0,0,1,0.0,Movimento de Massa,2015/2016,982.9,2015-10-09,4.36,5.15,4.5,87170000,0.1941747572815534,,6232
1995-07-03,0,0,0,0.0,Enxurradas,1995/1996,722.4,1995-07-20,1.45,1.56,1.73,87170000,,,6232
2023-11-18,0,0,5742,615000.0,Enxurradas,2023/2024,,,,,,86895000,,,6232
2023-06-15,0,0,20,180000.0,Chuvas Intensas,2023/2024,,,,,,86895000,,,6232
2015-10-27,0,0,0,0.0,Movimento de Massa,2015/2016,,,,,,86895000,,,6232
2015-07-15,0,0,1,0.0,Movimento de Massa,2015/2016,,,,,,86895000,,,6232
1995-07-03,0,0,0,0.0,Enxurradas,1995/1996,,,,,,86895000,,,6232
