Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-10-13,0,0,3089,269418.9,Chuvas Intensas,2023/2024,680.5,2023-11-17,3.44,3.71,3.77,74370000,832.6145552560647,72619.64959568734,3266,Sim
2017-06-05,0,0,1784,944540.0,Inundações,2017/2018,896.5,2017-06-08,6.89,11.78,11.19,74370000,151.44312393887947,80181.66383701189,3266,Sim
2017-05-08,0,0,1480,434926.0,Enxurradas,2017/2018,896.5,2017-06-08,6.89,11.78,11.19,74370000,125.63667232597624,36920.71307300509,3266,Sim
2015-07-24,0,0,1091,841839.0,Inundações,2015/2016,722.0,2015-12-15,4.77,4.56,4.6,74370000,239.2543859649123,184613.8157894737,3266,Sim
2014-07-08,0,3,1168,3791400.0,Inundações,2014/2015,1159.6,2014-06-25,62.0,57.34,46.0,74370000,20.369724450645272,66121.38123474014,3266,Sim
2010-04-27,0,0,0,29800.0,Inundações,2010/2011,678.1,2010-05-18,3.1,3.67,3.73,74370000,,8119.891008174387,3266,Sim
2009-09-29,0,0,0,520600.0,Inundações,2009/2010,641.5,2009-11-22,2.7,3.09,3.15,74370000,,168478.9644012945,3266,Sim
1993-07-22,0,0,0,0.0,Enxurradas,1993/1994,551.9,1993-10-03,2.38,2.11,2.15,74370000,,,3266,Sim
2023-10-13,0,0,3089,269418.9,Chuvas Intensas,2023/2024,591.0,2023-11-03,8.71,8.23,7.57,74320000,375.33414337788577,32736.196840826247,3266,
2017-06-05,0,0,1784,944540.0,Inundações,2017/2018,370.9,2017-05-28,2.1,2.17,2.26,74320000,822.1198156682028,435271.8894009217,3266,
2017-05-08,0,0,1480,434926.0,Enxurradas,2017/2018,370.9,2017-05-28,2.1,2.17,2.26,74320000,682.0276497695853,200426.7281105991,3266,
2015-07-24,0,0,1091,841839.0,Inundações,2015/2016,927.6,2015-07-14,61.0,127.62,62.29,74320000,8.548816799874627,6596.450399623883,3266,
2014-07-08,0,3,1168,3791400.0,Inundações,2014/2015,559.1,2014-09-30,7.62,6.58,6.26,74320000,177.50759878419453,576200.6079027356,3266,
2010-04-27,0,0,0,29800.0,Inundações,2010/2011,422.7,2010-05-18,2.54,2.82,2.92,74320000,,10567.375886524824,3266,
2009-09-29,0,0,0,520600.0,Inundações,2009/2010,320.4,2009-08-02,1.79,1.73,1.8,74320000,,300924.8554913295,3266,
1993-07-22,0,0,0,0.0,Enxurradas,1993/1994,291.8,1993-06-05,1.56,1.56,1.61,74320000,,,3266,
2023-10-13,0,0,3089,269418.9,Chuvas Intensas,2023/2024,209.8,2023-11-03,3.57,3.44,3.49,74295000,897.9651162790698,78319.44767441861,3266,
2017-06-05,0,0,1784,944540.0,Inundações,2017/2018,194.7,2017-05-19,3.33,2.9,2.96,74295000,615.1724137931035,325703.4482758621,3266,
2017-05-08,0,0,1480,434926.0,Enxurradas,2017/2018,194.7,2017-05-19,3.33,2.9,2.96,74295000,510.3448275862069,149974.4827586207,3266,
2015-07-24,0,0,1091,841839.0,Inundações,2015/2016,253.7,2015-07-17,8.33,6.03,5.79,74295000,180.92868988391376,139608.45771144278,3266,
2014-07-08,0,3,1168,3791400.0,Inundações,2014/2015,385.7,2014-06-26,25.0,45.32,30.6,74295000,25.772285966460725,83658.42894969108,3266,
2010-04-27,0,0,0,29800.0,Inundações,2010/2011,185.4,2010-05-18,2.63,2.62,2.68,74295000,,11374.045801526718,3266,
2009-09-29,0,0,0,520600.0,Inundações,2009/2010,219.0,2009-08-02,4.55,3.85,3.86,74295000,,135220.77922077922,3266,
1993-07-22,0,0,0,0.0,Enxurradas,1993/1994,160.2,1993-06-04,1.85,2.03,2.09,74295000,,,3266,
2023-10-13,0,0,3089,269418.9,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,1144.074074074074,99784.77777777778,3266,
2017-06-05,0,0,1784,944540.0,Inundações,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,336.6037735849057,178215.09433962265,3266,
2017-05-08,0,0,1480,434926.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,279.24528301886795,82061.50943396227,3266,
2015-07-24,0,0,1091,841839.0,Inundações,2015/2016,4426.1,2015-12-15,14.17,21.99,26.35,74270000,49.61346066393816,38282.81036834925,3266,
2014-07-08,0,3,1168,3791400.0,Inundações,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,48.00657624332101,155832.30579531443,3266,
2010-04-27,0,0,0,29800.0,Inundações,2010/2011,2622.4,2010-04-27,4.05,3.87,3.9,74270000,,7700.258397932816,3266,
2009-09-29,0,0,0,520600.0,Inundações,2009/2010,1944.6,2009-09-29,2.18,2.17,2.12,74270000,,239907.8341013825,3266,
1993-07-22,0,0,0,0.0,Enxurradas,1993/1994,2871.6,1993-07-05,5.31,4.87,4.98,74270000,,,3266,
2023-10-13,0,0,3089,269418.9,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,138.89388489208633,12114.159172661872,3266,
2017-06-05,0,0,1784,944540.0,Inundações,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,364.8261758691207,193157.46421267893,3266,
2017-05-08,0,0,1480,434926.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,302.6584867075665,88941.92229038855,3266,
2015-07-24,0,0,1091,841839.0,Inundações,2015/2016,18588.7,2015-07-15,3.3,4.12,4.07,74100000,264.8058252427184,204329.854368932,3266,
2014-07-08,0,3,1168,3791400.0,Inundações,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,106.66666666666669,346246.5753424658,3266,
2010-04-27,0,0,0,29800.0,Inundações,2010/2011,21617.7,2010-04-27,6.6,5.85,6.29,74100000,,5094.017094017095,3266,
2009-09-29,0,0,0,520600.0,Inundações,2009/2010,20928.6,2009-09-29,4.4,5.4,5.69,74100000,,96407.4074074074,3266,
1993-07-22,0,0,0,0.0,Enxurradas,1993/1994,10311.3,1993-06-06,1.69,1.63,1.52,74100000,,,3266,
2023-10-13,0,0,3089,269418.9,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,1057.876712328767,92266.74657534248,3266,
2017-06-05,0,0,1784,944540.0,Inundações,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,641.726618705036,339762.5899280576,3266,
2017-05-08,0,0,1480,434926.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,532.3741007194245,156448.20143884892,3266,
2015-07-24,0,0,1091,841839.0,Inundações,2015/2016,21334.6,2015-07-15,5.67,2.86,8.38,74500000,381.46853146853147,294349.3006993007,3266,
2014-07-08,0,3,1168,3791400.0,Inundações,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,377.9935275080906,1226990.291262136,3266,
2010-04-27,0,0,0,29800.0,Inundações,2010/2011,,,,,,74500000,,,3266,
2009-09-29,0,0,0,520600.0,Inundações,2009/2010,,,,,,74500000,,,3266,
1993-07-22,0,0,0,0.0,Enxurradas,1993/1994,,,,,,74500000,,,3266,
