Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-16,0,0,1696,0.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,76.2589928057554,,1621
2023-11-03,0,0,1696,5596000.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,76.2589928057554,251618.70503597124,1621
2023-10-07,0,0,1696,857000.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,76.2589928057554,38534.17266187051,1621
2019-05-11,0,0,1500,2383500.0,Enxurradas,2019/2020,11210.7,2019-05-31,1.83,1.79,1.66,74100000,837.9888268156425,1331564.245810056,1621
2017-06-04,0,0,2003,362500.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,409.6114519427403,74130.87934560327,1621
2015-01-06,0,0,0,605042.0,Enxurradas,2015/2016,18588.7,2015-07-15,3.3,4.12,4.07,74100000,,146854.85436893202,1621
2014-07-03,0,0,70,2251100.0,Enxurradas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,6.392694063926941,205579.9086757991,1621
2014-05-09,0,0,0,550000.0,Enxurradas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,,50228.31050228311,1621
2011-01-10,0,0,0,0.0,Enxurradas,2011/2012,21334.8,2011-08-31,5.5,5.66,6.04,74100000,,,1621
2010-12-23,0,0,0,131200.0,Enxurradas,2010/2011,21617.7,2010-04-27,6.6,5.85,6.29,74100000,,22427.35042735043,1621
2008-10-28,0,0,0,131200.0,Enxurradas,2008/2009,14517.2,2008-10-30,2.64,2.58,2.39,74100000,,50852.71317829457,1621
