Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-23,0,0,5047,12100804.57,Enxurradas,2023/2024,,,,,,86895000,,,11167
2023-09-13,0,0,5047,3313350.98,Enxurradas,2023/2024,,,,,,86895000,,,11167
2022-06-29,0,0,5020,998151.6,Enxurradas,2022/2023,,,,,,86895000,,,11167
2019-10-09,0,0,7602,5679540.0,Enxurradas,2019/2020,,,,,,86895000,,,11167
2017-06-01,0,0,7602,6522786.0,Enxurradas,2017/2018,,,,,,86895000,,,11167
2016-01-06,0,0,5933,2090044.0,Enxurradas,2016/2017,,,,,,86895000,,,11167
2015-12-29,0,0,0,132286.0,Chuvas Intensas,2015/2016,,,,,,86895000,,,11167
2015-11-12,0,0,7500,38025.0,Chuvas Intensas,2015/2016,,,,,,86895000,,,11167
2014-07-14,0,0,8,226000.0,Chuvas Intensas,2014/2015,6450.5,2014-10-20,2.0,2.28,2.46,86895000,3.5087719298245617,99122.80701754386,11167
2010-12-07,0,0,0,0.0,Enxurradas,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,,,11167
2010-01-04,2,0,6632,457000.0,Enxurradas,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,1451.2035010940915,100000.0,11167
2009-12-02,0,0,0,595000.0,Enxurradas,2009/2010,8053.9,2009-09-13,6.25,5.97,4.7,86895000,,99664.99162479062,11167
