Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-17,0,0,429,1721540.75,Enxurradas,2023/2024,325.9,2023-09-04,33.5,62.16,195.6,86420000,6.901544401544402,27695.314510939512,123090
2023-09-03,0,0,360,55216182.15,Inundações,2023/2024,325.9,2023-09-04,33.5,62.16,195.6,86420000,5.791505791505792,888291.2186293437,123090
2022-12-02,0,0,4976,5633678.86,Enxurradas,2022/2023,100.8,2022-05-30,2.03,2.03,1.89,86420000,2451.2315270935965,2775211.2610837445,123090
2023-11-17,0,0,429,1721540.75,Enxurradas,2023/2024,2931.9,2023-11-18,69.0,83.5,131.89,86410000,5.137724550898204,20617.254491017964,123090
2023-09-03,0,0,360,55216182.15,Inundações,2023/2024,2931.9,2023-11-18,69.0,83.5,131.89,86410000,4.311377245508982,661271.64251497,123090
2022-12-02,0,0,4976,5633678.86,Enxurradas,2022/2023,1133.7,2022-05-03,3.0,2.95,2.92,86410000,1686.7796610169491,1909721.647457627,123090
2023-11-17,0,0,429,1721540.75,Enxurradas,2023/2024,299.3,2023-07-13,1.55,1.43,1.49,86160000,300.0,1203874.6503496503,123090
2023-09-03,0,0,360,55216182.15,Inundações,2023/2024,299.3,2023-07-13,1.55,1.43,1.49,86160000,251.74825174825176,38612714.79020979,123090
2022-12-02,0,0,4976,5633678.86,Enxurradas,2022/2023,344.7,2022-06-06,1.73,1.7,1.81,86160000,2927.058823529412,3313928.74117647,123090
2023-11-17,0,0,429,1721540.75,Enxurradas,2023/2024,1508.3,2023-09-04,17.2,22.62,35.15,86100000,18.96551724137931,76107.01812555261,123090
2023-09-03,0,0,360,55216182.15,Inundações,2023/2024,1508.3,2023-09-04,17.2,22.62,35.15,86100000,15.915119363395224,2441033.693633952,123090
2022-12-02,0,0,4976,5633678.86,Enxurradas,2022/2023,872.0,2022-05-03,4.1,3.93,3.9,86100000,1266.1577608142493,1433506.071246819,123090
2023-11-17,0,0,429,1721540.75,Enxurradas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,50.709219858156025,203491.81442080377,123090
2023-09-03,0,0,360,55216182.15,Inundações,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,42.5531914893617,6526735.478723403,123090
2022-12-02,0,0,4976,5633678.86,Enxurradas,2022/2023,4884.0,2022-05-04,1.76,1.71,1.75,86510000,2909.941520467836,3294549.040935673,123090
