Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-09-15,0,0,2017,1953376.11,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,690.7534246575343,668964.4212328767,2087
2017-06-01,0,0,2106,799800.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,757.5539568345324,287697.8417266187,2087
2014-07-17,0,0,2144,450000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,693.8511326860842,145631.06796116504,2087
2009-11-27,0,0,0,0.0,Enxurradas,2009/2010,,,,,,74500000,,,2087
1997-10-11,0,0,0,0.0,Enxurradas,1997/1998,,,,,,74500000,,,2087
2023-09-15,0,0,2017,1953376.11,Chuvas Intensas,2023/2024,680.5,2023-11-17,3.44,3.71,3.77,74370000,543.6657681940701,526516.4716981133,2087
2017-06-01,0,0,2106,799800.0,Enxurradas,2017/2018,896.5,2017-06-08,6.89,11.78,11.19,74370000,178.77758913412563,67894.73684210527,2087
2014-07-17,0,0,2144,450000.0,Enxurradas,2014/2015,1159.6,2014-06-25,62.0,57.34,46.0,74370000,37.39100104638995,7847.924659923265,2087
2009-11-27,0,0,0,0.0,Enxurradas,2009/2010,641.5,2009-11-22,2.7,3.09,3.15,74370000,,,2087
1997-10-11,0,0,0,0.0,Enxurradas,1997/1998,795.9,1997-08-03,5.17,6.72,6.65,74370000,,,2087
2023-09-15,0,0,2017,1953376.11,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,747.037037037037,723472.6333333333,2087
2017-06-01,0,0,2106,799800.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,397.35849056603774,150905.6603773585,2087
2014-07-17,0,0,2144,450000.0,Enxurradas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,88.12166050143856,18495.684340320597,2087
2009-11-27,0,0,0,0.0,Enxurradas,2009/2010,1944.6,2009-09-29,2.18,2.17,2.12,74270000,,,2087
1997-10-11,0,0,0,0.0,Enxurradas,1997/1998,3760.2,1997-10-30,12.14,11.43,12.69,74270000,,,2087
