Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-09-04,0,0,280,2700000.0,Chuvas Intensas,2023/2024,1508.3,2023-09-04,17.2,22.62,35.15,86100000,12.37842617152962,119363.3952254642,11270
2020-07-10,0,0,11,41000.0,Enxurradas,2020/2021,1139.2,2020-07-08,9.56,8.25,9.48,86100000,1.3333333333333333,4969.69696969697,11270
2011-02-14,0,0,0,4076640.0,Inundações,2011/2012,939.5,2011-07-21,5.06,4.73,4.84,86100000,,861868.9217758984,11270
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1525.5,2001-10-01,21.5,23.68,37.41,86100000,,,11270
2023-09-04,0,0,280,2700000.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,12.589928057553958,121402.87769784172,11270
2020-07-10,0,0,11,41000.0,Enxurradas,2020/2021,7427.0,2020-06-11,1.22,1.25,1.22,74100000,8.8,32800.0,11270
2011-02-14,0,0,0,4076640.0,Inundações,2011/2012,21334.8,2011-08-31,5.5,5.66,6.04,74100000,,720254.4169611307,11270
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,14571.9,2001-10-02,2.75,2.59,2.4,74100000,,,11270
2023-09-04,0,0,280,2700000.0,Chuvas Intensas,2023/2024,1316.3,2023-11-18,2.58,2.91,2.88,70200000,96.21993127147766,927835.0515463916,11270
2020-07-10,0,0,11,41000.0,Enxurradas,2020/2021,1237.2,2020-07-08,2.38,2.54,2.5,70200000,4.330708661417323,16141.732283464567,11270
2011-02-14,0,0,0,4076640.0,Inundações,2011/2012,1963.6,2011-08-09,10.33,10.03,10.92,70200000,,406444.6660019941,11270
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,2726.5,2001-10-01,62.0,46.17,60.84,70200000,,,11270
