Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-22,0,0,347,3879000.0,Chuvas Intensas,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,1.2680431207747125,14175.041110908096,14446
2023-06-19,0,0,1002,900000.0,Enxurradas,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,3.661611547597296,3288.872647542481,14446
2016-10-19,0,0,6220,15463883.0,Inundações,2016/2017,802.4,2016-10-17,3.36,3.61,3.65,87160000,1722.9916897506926,4283624.099722992,14446
2015-10-15,0,0,5609,7246099.0,Inundações,2015/2016,718.8,2015-10-09,2.27,2.8,2.85,87160000,2003.2142857142856,2587892.5,14446
2011-04-23,0,0,0,4103280.0,Enxurradas,2011/2012,1142.3,2011-07-21,16.8,11.82,11.05,87160000,,347147.2081218274,14446
2010-09-28,0,0,0,0.0,Enxurradas,2010/2011,474.7,2010-07-22,1.65,1.53,1.55,87160000,,,14446
2010-01-07,0,0,4904,1603610.0,Enxurradas,2010/2011,474.7,2010-07-22,1.65,1.53,1.55,87160000,3205.2287581699347,1048111.1111111112,14446
2009-09-26,0,0,3620,2677000.0,Enxurradas,2009/2010,975.2,2009-09-12,6.46,6.42,6.31,87160000,563.8629283489097,416978.19314641744,14446
2009-01-10,0,0,0,0.0,Enxurradas,2009/2010,975.2,2009-09-12,6.46,6.42,6.31,87160000,,,14446
2007-09-23,0,0,7232,4103280.0,Inundações,2007/2008,998.8,2007-09-23,7.0,6.98,6.82,87160000,1036.103151862464,587862.4641833811,14446
2023-11-22,0,0,347,3879000.0,Chuvas Intensas,2023/2024,1250.0,2023-06-17,48.0,59.07,14.59,87170000,5.874386321313696,65667.85170137126,14446
2023-06-19,0,0,1002,900000.0,Enxurradas,2023/2024,1250.0,2023-06-17,48.0,59.07,14.59,87170000,16.962925342813612,15236.160487557136,14446
2016-10-19,0,0,6220,15463883.0,Inundações,2016/2017,1145.8,2016-10-18,24.0,19.43,9.11,87170000,320.1235203293876,795876.6340710243,14446
2015-10-15,0,0,5609,7246099.0,Inundações,2015/2016,982.9,2015-10-09,4.36,5.15,4.5,87170000,1089.126213592233,1407009.5145631067,14446
2011-04-23,0,0,0,4103280.0,Enxurradas,2011/2012,1032.5,2011-07-21,6.86,7.33,5.54,87170000,,559792.6330150068,14446
2010-09-28,0,0,0,0.0,Enxurradas,2010/2011,501.2,2010-07-23,1.14,1.09,1.09,87170000,,,14446
2010-01-07,0,0,4904,1603610.0,Enxurradas,2010/2011,501.2,2010-07-23,1.14,1.09,1.09,87170000,4499.082568807339,1471201.8348623852,14446
2009-09-26,0,0,3620,2677000.0,Enxurradas,2009/2010,1120.3,2009-09-30,16.0,15.28,8.13,87170000,236.9109947643979,175196.33507853403,14446
2009-01-10,0,0,0,0.0,Enxurradas,2009/2010,1120.3,2009-09-30,16.0,15.28,8.13,87170000,,,14446
2007-09-23,0,0,7232,4103280.0,Inundações,2007/2008,926.3,2007-07-11,3.2,3.63,3.57,87170000,1992.2865013774103,1130380.1652892565,14446
