Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-26,0,0,0,15000.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,,5136.986301369863,1858
2017-06-13,0,0,1726,265168.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,620.8633093525181,95384.17266187051,1858
2014-10-09,0,0,0,68000.0,Chuvas Intensas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,,22006.472491909382,1858
2014-07-07,0,0,0,40000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,,12944.983818770228,1858
1994-06-13,0,0,0,0.0,Enxurradas,1994/1995,,,,,,74500000,,,1858
2023-10-26,0,0,0,15000.0,Chuvas Intensas,2023/2024,476.2,2023-11-17,3.26,3.23,3.25,74470000,,4643.962848297214,1858
2017-06-13,0,0,1726,265168.0,Enxurradas,2017/2018,759.3,2017-06-08,15.5,17.72,17.82,74470000,97.4040632054176,14964.334085778784,1858
2014-10-09,0,0,0,68000.0,Chuvas Intensas,2014/2015,841.5,2014-10-01,31.0,30.12,30.12,74470000,,2257.636122177955,1858
2014-07-07,0,0,0,40000.0,Enxurradas,2014/2015,841.5,2014-10-01,31.0,30.12,30.12,74470000,,1328.0212483399737,1858
1994-06-13,0,0,0,0.0,Enxurradas,1994/1995,553.2,1994-07-01,4.43,4.97,5.02,74470000,,,1858
