Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-18,0,15,1183,1562300.0,Enxurradas,2023/2024,395.4,2023-10-17,1.66,1.69,1.67,86745000,700.0,924437.8698224853,12448,
2023-09-04,0,155,1594,16459400.0,Chuvas Intensas,2023/2024,395.4,2023-10-17,1.66,1.69,1.67,86745000,943.1952662721894,9739289.940828403,12448,
2020-07-10,0,0,584,1177363.69,Inundações,2020/2021,680.0,2020-07-08,5.67,5.28,5.49,86745000,110.6060606060606,222985.54734848483,12448,
2013-09-09,0,0,32,150000.0,Inundações,2013/2014,363.5,2013-08-25,1.51,1.53,1.51,86745000,20.91503267973856,98039.2156862745,12448,
2011-07-20,0,2,3237,260000.0,Inundações,2011/2012,421.2,2011-07-21,1.89,1.84,1.82,86745000,1759.2391304347825,141304.34782608697,12448,
2011-04-23,0,0,3330,902350.0,Enxurradas,2011/2012,421.2,2011-07-21,1.89,1.84,1.82,86745000,1809.782608695652,490407.60869565216,12448,
2010-01-05,0,0,4928,477340.0,Enxurradas,2010/2011,1292.3,2010-01-04,68.0,106.28,129.32,86745000,46.36808430560783,4491.343620624764,12448,
2008-10-27,0,0,0,55620.0,Inundações,2008/2009,619.8,2008-10-26,5.23,4.03,4.14,86745000,,13801.488833746898,12448,
2007-09-24,0,0,68,1608260.0,Inundações,2007/2008,231.2,2007-05-17,1.13,1.14,1.13,86745000,59.64912280701755,1410754.3859649124,12448,
2001-07-21,0,0,0,0.0,Enxurradas,2001/2002,1257.8,2001-07-20,34.0,89.56,107.74,86745000,,,12448,
2023-11-18,0,15,1183,1562300.0,Enxurradas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,86.41344046749452,114119.79547114683,12448,Sim
2023-09-04,0,155,1594,16459400.0,Chuvas Intensas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,116.43535427319212,1202293.6449963478,12448,Sim
2020-07-10,0,0,584,1177363.69,Inundações,2020/2021,14003.0,2020-07-08,69.0,21.5,22.19,86720000,27.162790697674417,54761.10186046511,12448,Sim
2013-09-09,0,0,32,150000.0,Inundações,2013/2014,9120.5,2013-08-25,3.29,4.32,4.37,86720000,7.4074074074074066,34722.22222222222,12448,Sim
2011-07-20,0,2,3237,260000.0,Inundações,2011/2012,13323.5,2011-07-21,34.5,17.05,17.56,86720000,189.8533724340176,15249.266862170089,12448,Sim
2011-04-23,0,0,3330,902350.0,Enxurradas,2011/2012,13323.5,2011-07-21,34.5,17.05,17.56,86720000,195.30791788856305,52923.753665689146,12448,Sim
2010-01-05,0,0,4928,477340.0,Enxurradas,2010/2011,6296.1,2010-09-23,2.09,1.98,1.98,86720000,2488.8888888888887,241080.80808080808,12448,Sim
2008-10-27,0,0,0,55620.0,Inundações,2008/2009,12193.7,2008-10-26,7.67,11.64,11.94,86720000,,4778.350515463917,12448,Sim
2007-09-24,0,0,68,1608260.0,Inundações,2007/2008,10641.1,2007-07-11,5.31,6.98,7.11,86720000,9.742120343839542,230409.7421203438,12448,Sim
2001-07-21,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86720000,,,12448,Sim
2023-11-18,0,15,1183,1562300.0,Enxurradas,2023/2024,,,,,,86895000,,,12448,
2023-09-04,0,155,1594,16459400.0,Chuvas Intensas,2023/2024,,,,,,86895000,,,12448,
2020-07-10,0,0,584,1177363.69,Inundações,2020/2021,,,,,,86895000,,,12448,
2013-09-09,0,0,32,150000.0,Inundações,2013/2014,7967.5,2013-08-26,5.0,5.6,4.52,86895000,5.714285714285714,26785.714285714286,12448,
2011-07-20,0,2,3237,260000.0,Inundações,2011/2012,8847.8,2011-07-21,25.0,11.58,6.66,86895000,279.53367875647666,22452.50431778929,12448,
2011-04-23,0,0,3330,902350.0,Enxurradas,2011/2012,8847.8,2011-07-21,25.0,11.58,6.66,86895000,287.56476683937825,77923.14335060449,12448,
2010-01-05,0,0,4928,477340.0,Enxurradas,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,1078.3369803063456,104450.7658643326,12448,
2008-10-27,0,0,0,55620.0,Inundações,2008/2009,8579.9,2008-10-27,12.5,9.12,5.91,86895000,,6098.684210526317,12448,
2007-09-24,0,0,68,1608260.0,Inundações,2007/2008,8325.0,2007-07-11,10.0,7.38,5.28,86895000,9.214092140921409,217921.40921409216,12448,
2001-07-21,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86895000,,,12448,
