Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-20,0,0,4984,300000.0,Enxurradas,2023/2024,6473.2,2023-09-18,26.33,17.7,12.95,85900000,281.5819209039548,16949.15254237288,7691,
2023-09-14,0,0,4361,0.0,Enxurradas,2023/2024,6473.2,2023-09-18,26.33,17.7,12.95,85900000,246.38418079096047,,7691,
2019-11-06,0,0,3322,25000.0,Enxurradas,2019/2020,4792.1,2019-11-07,3.16,3.86,3.9,85900000,860.6217616580311,6476.683937823835,7691,
2018-09-25,0,0,2300,227500.0,Enxurradas,2018/2019,3543.5,2018-09-06,1.72,1.75,1.84,85900000,1314.2857142857142,130000.0,7691,
2017-05-27,0,0,3500,458874.0,Chuvas Intensas,2017/2018,4572.8,2017-06-04,2.93,3.28,3.37,85900000,1067.0731707317077,139900.60975609758,7691,
2015-12-30,0,0,82,33349.0,Chuvas Intensas,2015/2016,7423.3,2015-10-17,39.5,49.47,26.54,85900000,1.6575702445926823,674.1257327673337,7691,
2011-04-14,0,0,0,0.0,Enxurradas,2011/2012,3345.8,2011-08-15,1.58,1.6,1.67,85900000,,,7691,
2010-11-24,0,0,0,0.0,Enxurradas,2010/2011,4912.9,2010-01-11,3.59,4.24,4.22,85900000,,,7691,
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,4912.9,2010-01-11,3.59,4.24,4.22,85900000,,,7691,
2009-11-24,0,0,0,0.0,Enxurradas,2009/2010,5872.9,2009-11-26,13.17,9.78,8.32,85900000,,,7691,
2007-09-23,0,0,115,0.0,Enxurradas,2007/2008,4537.9,2007-09-29,2.72,3.2,3.3,85900000,35.9375,,7691,
2003-02-10,0,0,0,0.0,Enxurradas,2003/2004,4176.1,2003-12-21,2.26,2.51,2.63,85900000,,,7691,
2023-11-20,0,0,4984,300000.0,Enxurradas,2023/2024,258.3,2023-07-08,48.0,56.64,6.92,85830000,87.99435028248587,5296.610169491525,7691,Sim
2023-09-14,0,0,4361,0.0,Enxurradas,2023/2024,258.3,2023-07-08,48.0,56.64,6.92,85830000,76.99505649717514,,7691,Sim
2019-11-06,0,0,3322,25000.0,Enxurradas,2019/2020,191.1,2019-05-28,6.0,3.41,2.71,85830000,974.1935483870968,7331.378299120234,7691,Sim
2018-09-25,0,0,2300,227500.0,Enxurradas,2018/2019,206.1,2018-09-02,6.86,5.37,3.29,85830000,428.30540037243946,42364.99068901304,7691,Sim
2017-05-27,0,0,3500,458874.0,Chuvas Intensas,2017/2018,239.5,2017-06-08,24.0,20.99,5.25,85830000,166.74606955693187,21861.55312053359,7691,Sim
2015-12-30,0,0,82,33349.0,Chuvas Intensas,2015/2016,235.7,2015-10-08,12.0,17.52,4.97,85830000,4.680365296803653,1903.4817351598172,7691,Sim
2011-04-14,0,0,0,0.0,Enxurradas,2011/2012,172.4,2011-08-09,3.69,2.19,2.16,85830000,,,7691,Sim
2010-11-24,0,0,0,0.0,Enxurradas,2010/2011,174.8,2010-01-05,4.36,2.3,2.22,85830000,,,7691,Sim
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,174.8,2010-01-05,4.36,2.3,2.22,85830000,,,7691,Sim
2009-11-24,0,0,0,0.0,Enxurradas,2009/2010,171.7,2009-08-09,3.2,2.16,2.14,85830000,,,7691,Sim
2007-09-23,0,0,115,0.0,Enxurradas,2007/2008,154.6,2007-02-25,1.26,1.61,1.77,85830000,71.42857142857143,,7691,Sim
2003-02-10,0,0,0,0.0,Enxurradas,2003/2004,171.7,2003-07-09,3.0,2.16,2.14,85830000,,,7691,Sim
