Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2017-06-02,0,0,3000,1318640.0,Chuvas Intensas,2017/2018,1759.3,2017-04-27,5.67,6.14,4.83,75700000,488.599348534202,214762.21498371335,6135
2010-12-11,0,0,0,0.0,Enxurradas,2010/2011,1218.9,2010-01-21,1.66,1.68,1.85,75700000,,,6135
2009-12-11,0,0,0,7718200.0,Enxurradas,2009/2010,1935.8,2009-11-23,22.67,11.92,6.9,75700000,,647500.0,6135
2002-07-21,0,0,0,0.0,Enxurradas,2002/2003,1890.3,2002-10-12,11.33,9.93,6.29,75700000,,,6135
2017-06-02,0,0,3000,1318640.0,Chuvas Intensas,2017/2018,22607.4,2017-06-03,8.0,7.99,7.16,75550000,375.4693366708385,165036.2953692115,6135
2010-12-11,0,0,0,0.0,Enxurradas,2010/2011,15314.9,2010-04-29,2.46,2.3,2.4,75550000,,,6135
2009-12-11,0,0,0,7718200.0,Enxurradas,2009/2010,13304.4,2009-09-15,1.88,1.79,1.87,75550000,,4311843.575418995,6135
2002-07-21,0,0,0,0.0,Enxurradas,2002/2003,,,,,,75550000,,,6135
2017-06-02,0,0,3000,1318640.0,Chuvas Intensas,2017/2018,1254.6,2017-04-28,11.5,7.43,6.85,75450000,403.7685060565276,177475.10094212653,6135
2010-12-11,0,0,0,0.0,Enxurradas,2010/2011,1054.5,2010-01-23,3.14,3.89,3.91,75450000,,,6135
2009-12-11,0,0,0,7718200.0,Enxurradas,2009/2010,1079.4,2009-11-23,3.45,4.2,4.19,75450000,,1837666.6666666665,6135
2002-07-21,0,0,0,0.0,Enxurradas,2002/2003,1202.1,2002-10-12,5.75,6.22,5.89,75450000,,,6135
