Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-24,0,0,3702,2448000.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,1267.8082191780825,838356.1643835617,3271
2022-06-06,0,0,3702,1072880.0,Enxurradas,2022/2023,15002.0,2022-10-12,2.43,2.69,2.86,74500000,1376.2081784386617,398840.1486988848,3271
2017-06-06,0,0,1730,580336.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,622.3021582733813,208753.9568345324,3271
2014-07-07,0,0,50,775000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,16.181229773462785,250809.06148867315,3271
2010-11-26,0,0,0,0.0,Enxurradas,2010/2011,,,,,,74500000,,,3271
2009-11-22,0,0,0,0.0,Enxurradas,2009/2010,,,,,,74500000,,,3271
2023-11-24,0,0,3702,2448000.0,Chuvas Intensas,2023/2024,476.2,2023-11-17,3.26,3.23,3.25,74470000,1146.1300309597525,757894.7368421053,3271
2022-06-06,0,0,3702,1072880.0,Enxurradas,2022/2023,970.5,2022-05-29,62.0,69.86,69.3,74470000,52.99169768107644,15357.572287432007,3271
2017-06-06,0,0,1730,580336.0,Enxurradas,2017/2018,759.3,2017-06-08,15.5,17.72,17.82,74470000,97.62979683972912,32750.33860045147,3271
2014-07-07,0,0,50,775000.0,Enxurradas,2014/2015,841.5,2014-10-01,31.0,30.12,30.12,74470000,1.6600265604249669,25730.411686586984,3271
2010-11-26,0,0,0,0.0,Enxurradas,2010/2011,395.6,2010-05-18,2.14,2.16,2.16,74470000,,,3271
2009-11-22,0,0,0,0.0,Enxurradas,2009/2010,587.8,2009-11-22,5.17,6.1,6.16,74470000,,,3271
