Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-27,0,0,2213,6830560.0,Chuvas Intensas,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,85642000,88.69739478957916,273769.9398797595,33476,Sim
2019-01-14,0,0,1055,5998084.95,Chuvas Intensas,2019/2020,3472.6,2019-11-03,11.25,9.16,5.57,85642000,115.17467248908297,654812.767467249,33476,Sim
2017-03-15,0,0,12132,5110000.0,Chuvas Intensas,2017/2018,3459.4,2017-06-01,9.0,8.86,5.48,85642000,1369.3002257336343,576749.4356659142,33476,Sim
2015-10-19,0,0,50,1840155.0,Enxurradas,2015/2016,4360.6,2015-12-27,45.0,166.48,17.02,85642000,0.300336376741951,11053.309706871696,33476,Sim
2010-11-18,0,0,0,0.0,Enxurradas,2010/2011,2926.0,2010-01-08,3.21,3.04,2.97,85642000,,,33476,Sim
2009-11-18,0,0,0,6906300.0,Enxurradas,2009/2010,3127.3,2009-11-25,7.5,4.31,3.72,85642000,,1602389.7911832947,33476,Sim
2007-03-19,0,0,0,982000.0,Enxurradas,2007/2008,2910.3,2007-09-27,3.0,2.96,2.92,85642000,,331756.75675675675,33476,Sim
2003-06-10,0,0,128,0.0,Enxurradas,2003/2004,2807.8,2003-12-18,2.37,2.54,2.62,85642000,50.39370078740157,,33476,Sim
2002-10-03,0,0,0,0.0,Enxurradas,2002/2003,3013.8,2002-10-11,4.09,3.51,3.27,85642000,,,33476,Sim
1993-11-03,0,0,0,0.0,Enxurradas,1993/1994,2680.9,1993-06-07,1.8,2.15,2.31,85642000,,,33476,Sim
1992-04-22,0,0,0,0.0,Enxurradas,1992/1993,3081.1,1992-04-16,5.62,3.96,3.53,85642000,,,33476,Sim
