Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-13,0,0,2360,1075500.0,Chuvas Intensas,2023/2024,1327.0,2023-11-14,5.0,3.84,3.61,76100000,614.5833333333334,280078.125,12291,
2019-01-21,0,0,1462,1456600.0,Chuvas Intensas,2019/2020,1343.2,2019-01-10,5.67,4.05,3.74,76100000,360.9876543209877,359654.3209876543,12291,
2010-11-24,0,0,0,0.0,Inundações,2010/2011,1707.0,2010-01-05,21.25,19.14,8.57,76100000,,,12291,
2010-01-05,0,0,0,529000.0,Enxurradas,2010/2011,1707.0,2010-01-05,21.25,19.14,8.57,76100000,,27638.453500522464,12291,
2009-11-23,0,0,7071,6906300.0,Inundações,2009/2010,1113.9,2009-08-10,1.98,2.16,2.35,76100000,3273.611111111111,3197361.111111111,12291,
1992-04-22,0,0,0,0.0,Inundações,1992/1993,952.9,1992-04-14,1.49,1.59,1.77,76100000,,,12291,
2023-09-13,0,0,2360,1075500.0,Chuvas Intensas,2023/2024,26138.0,2023-11-26,7.33,10.74,8.24,77150000,219.7392923649907,100139.66480446928,12291,
2019-01-21,0,0,1462,1456600.0,Chuvas Intensas,2019/2020,15693.4,2019-01-20,1.91,1.66,1.77,77150000,880.722891566265,877469.8795180724,12291,
2010-11-24,0,0,0,0.0,Inundações,2010/2011,14480.7,2010-05-03,1.63,1.47,1.55,77150000,,,12291,
2010-01-05,0,0,0,529000.0,Enxurradas,2010/2011,14480.7,2010-05-03,1.63,1.47,1.55,77150000,,359863.9455782313,12291,
2009-11-23,0,0,7071,6906300.0,Inundações,2009/2010,21795.6,2009-12-01,4.4,4.14,4.08,77150000,1707.9710144927535,1668188.4057971016,12291,
1992-04-22,0,0,0,0.0,Inundações,1992/1993,25273.2,1992-06-06,6.29,8.72,7.13,77150000,,,12291,
2023-09-13,0,0,2360,1075500.0,Chuvas Intensas,2023/2024,3021.9,2023-10-01,2.26,2.28,2.33,76500000,1035.0877192982457,471710.5263157895,12291,Sim
2019-01-21,0,0,1462,1456600.0,Chuvas Intensas,2019/2020,4764.8,2019-01-20,7.62,10.27,9.73,76500000,142.35637779941578,141830.57448880235,12291,Sim
2010-11-24,0,0,0,0.0,Inundações,2010/2011,3539.7,2010-01-23,3.39,3.38,3.43,76500000,,,12291,Sim
2010-01-05,0,0,0,529000.0,Enxurradas,2010/2011,3539.7,2010-01-23,3.39,3.38,3.43,76500000,,156508.87573964498,12291,Sim
2009-11-23,0,0,7071,6906300.0,Inundações,2009/2010,5874.0,2009-11-26,30.5,31.96,26.76,76500000,221.2453066332916,216091.98998748435,12291,Sim
1992-04-22,0,0,0,0.0,Inundações,1992/1993,5503.2,1992-04-19,20.33,21.67,19.01,76500000,,,12291,Sim
