Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-12-22,0,0,80070,4163663.92,Chuvas Intensas,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,85642000,3209.218436873748,166880.31743486974,81552
2023-11-22,0,0,83827,945028.12,Chuvas Intensas,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,85642000,3359.7995991983967,37876.87855711423,81552
2023-09-02,1,2,83827,681750.0,Chuvas Intensas,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,85642000,3359.7995991983967,27324.6492985972,81552
2022-06-06,0,0,0,0.0,Chuvas Intensas,2022/2023,2460.0,2022-07-19,1.5,1.69,1.87,85642000,,,81552
2022-04-25,0,0,38,1000.0,Chuvas Intensas,2022/2023,2460.0,2022-07-19,1.5,1.69,1.87,85642000,22.485207100591715,591.7159763313609,81552
2021-10-20,0,0,183,7500.0,Chuvas Intensas,2021/2022,2392.0,2021-09-11,1.36,1.59,1.77,85642000,115.0943396226415,4716.981132075472,81552
2021-09-20,0,0,0,0.0,Inundações,2021/2022,2392.0,2021-09-11,1.36,1.59,1.77,85642000,,,81552
2021-02-16,0,0,28,0.0,Enxurradas,2021/2022,2392.0,2021-09-11,1.36,1.59,1.77,85642000,17.61006289308176,,81552
2019-11-07,0,0,2437,768500.0,Inundações,2019/2020,3472.6,2019-11-03,11.25,9.16,5.57,85642000,266.0480349344978,83897.37991266376,81552
2019-07-27,0,0,0,0.0,Inundações,2019/2020,3472.6,2019-11-03,11.25,9.16,5.57,85642000,,,81552
2017-06-01,0,0,6314,2126000.0,Inundações,2017/2018,3459.4,2017-06-01,9.0,8.86,5.48,85642000,712.6410835214448,239954.8532731377,81552
2016-01-04,0,0,83827,16630053.0,Inundações,2016/2017,3578.7,2016-10-22,15.0,12.02,6.34,85642000,6973.960066555741,1383531.8635607322,81552
2015-10-17,0,0,6395,3126570.0,Inundações,2015/2016,4360.6,2015-12-27,45.0,166.48,17.02,85642000,38.413022585295536,18780.45410860164,81552
2015-07-23,1,2,15246,5480870.0,Enxurradas,2015/2016,4360.6,2015-12-27,45.0,166.48,17.02,85642000,91.5785679961557,32922.09274387314,81552
2013-11-20,0,0,155,6047656.58,Enxurradas,2013/2014,2748.4,2013-11-15,2.14,2.35,2.47,85642000,65.95744680851064,2573470.885106383,81552
2010-11-23,0,0,0,0.0,Inundações,2010/2011,2926.0,2010-01-08,3.21,3.04,2.97,85642000,,,81552
2010-05-25,0,0,0,0.0,Inundações,2010/2011,2926.0,2010-01-08,3.21,3.04,2.97,85642000,,,81552
2009-11-19,0,0,30826,0.0,Inundações,2009/2010,3127.3,2009-11-25,7.5,4.31,3.72,85642000,7152.204176334108,,81552
2007-10-16,0,0,142,529000.0,Inundações,2007/2008,2910.3,2007-09-27,3.0,2.96,2.92,85642000,47.972972972972975,178716.2162162162,81552
2002-10-12,0,0,1363,330000.0,Inundações,2002/2003,3013.8,2002-10-11,4.09,3.51,3.27,85642000,388.31908831908834,94017.09401709402,81552
2023-12-22,0,0,80070,4163663.92,Chuvas Intensas,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,85642000,3209.218436873748,166880.31743486974,81552
2023-11-22,0,0,83827,945028.12,Chuvas Intensas,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,85642000,3359.7995991983967,37876.87855711423,81552
2023-09-02,1,2,83827,681750.0,Chuvas Intensas,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,85642000,3359.7995991983967,27324.6492985972,81552
2022-06-06,0,0,0,0.0,Chuvas Intensas,2022/2023,2460.0,2022-07-19,1.5,1.69,1.87,85642000,,,81552
2022-04-25,0,0,38,1000.0,Chuvas Intensas,2022/2023,2460.0,2022-07-19,1.5,1.69,1.87,85642000,22.485207100591715,591.7159763313609,81552
2021-10-20,0,0,183,7500.0,Chuvas Intensas,2021/2022,2392.0,2021-09-11,1.36,1.59,1.77,85642000,115.0943396226415,4716.981132075472,81552
2021-09-20,0,0,0,0.0,Inundações,2021/2022,2392.0,2021-09-11,1.36,1.59,1.77,85642000,,,81552
2021-02-16,0,0,28,0.0,Enxurradas,2021/2022,2392.0,2021-09-11,1.36,1.59,1.77,85642000,17.61006289308176,,81552
2019-11-07,0,0,2437,768500.0,Inundações,2019/2020,3472.6,2019-11-03,11.25,9.16,5.57,85642000,266.0480349344978,83897.37991266376,81552
2019-07-27,0,0,0,0.0,Inundações,2019/2020,3472.6,2019-11-03,11.25,9.16,5.57,85642000,,,81552
