Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-08,0,0,5820,800000.0,Chuvas Intensas,2023/2024,,,,,,87401600,,,132144,
2023-06-22,0,0,5232,500000.0,Chuvas Intensas,2023/2024,,,,,,87401600,,,132144,
2017-06-09,0,0,81,950.0,Inundações,2017/2018,10.6,2017-05-26,1.47,1.91,2.09,87401600,42.40837696335079,497.3821989528796,132144,
2015-07-24,0,0,620,0.0,Inundações,2015/2016,4.5,2015-11-28,1.1,1.04,1.05,87401600,596.1538461538462,,132144,
2014-07-07,0,0,123,0.0,Inundações,2014/2015,,,,,,87401600,,,132144,
2013-09-03,0,0,764,940000.0,Inundações,2013/2014,18.6,2013-08-30,22.0,62.52,11.83,87401600,12.220089571337173,15035.188739603323,132144,
2011-02-05,0,0,693,0.0,Enxurradas,2011/2012,12.6,2011-04-24,3.14,3.22,3.07,87401600,215.2173913043478,,132144,
2007-07-13,0,0,160,0.0,Enxurradas,2007/2008,11.6,2007-06-17,1.83,2.42,2.52,87401600,66.11570247933885,,132144,
1995-09-04,0,0,0,0.0,Enxurradas,1995/1996,13.2,1995-07-30,5.5,3.92,3.47,87401600,,,132144,
2023-09-08,0,0,5820,800000.0,Chuvas Intensas,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,559.6153846153846,76923.07692307692,132144,Sim
2023-06-22,0,0,5232,500000.0,Chuvas Intensas,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,503.07692307692304,48076.92307692308,132144,Sim
2017-06-09,0,0,81,950.0,Inundações,2017/2018,137.8,2017-06-10,4.36,3.69,3.7,87399000,21.951219512195124,257.45257452574526,132144,Sim
2015-07-24,0,0,620,0.0,Inundações,2015/2016,213.4,2015-07-24,24.0,53.01,26.48,87399000,11.695906432748538,,132144,Sim
2014-07-07,0,0,123,0.0,Inundações,2014/2015,126.3,2014-07-05,2.53,2.74,2.84,87399000,44.8905109489051,,132144,Sim
2013-09-03,0,0,764,940000.0,Inundações,2013/2014,224.6,2013-08-30,48.0,85.06,35.97,87399000,8.981895132847402,11051.022807430048,132144,Sim
2011-02-05,0,0,693,0.0,Enxurradas,2011/2012,133.3,2011-07-24,3.69,3.27,3.33,87399000,211.92660550458717,,132144,Sim
2007-07-13,0,0,160,0.0,Enxurradas,2007/2008,114.6,2007-09-28,2.09,2.11,2.22,87399000,75.82938388625593,,132144,Sim
1995-09-04,0,0,0,0.0,Enxurradas,1995/1996,168.4,1995-08-04,9.6,9.51,7.95,87399000,,,132144,Sim
