Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-18,0,0,1074,160000.0,Inundações,2023/2024,4946.4,2023-09-14,61.0,31.37,14.18,87905000,34.2365317182021,5100.414408670705,66686,Sim
2019-11-02,0,0,71,53186.0,Chuvas Intensas,2019/2020,3448.7,2019-11-01,3.39,3.32,3.43,87905000,21.3855421686747,16019.87951807229,66686,Sim
2019-01-22,0,4,212,154556.6,Inundações,2019/2020,3448.7,2019-11-01,3.39,3.32,3.43,87905000,63.85542168674699,46553.192771084345,66686,Sim
2016-05-02,0,0,20000,2417400.0,Chuvas Intensas,2016/2017,2933.1,2016-04-27,2.35,2.05,2.25,87905000,9756.097560975611,1179219.512195122,66686,Sim
2015-10-19,0,0,0,855793.0,Chuvas Intensas+Alagamentos,2015/2016,3752.1,2015-07-21,4.07,4.72,4.49,87905000,,181312.07627118644,66686,Sim
2014-07-11,0,0,12,3586993.0,Enxurradas,2014/2015,3040.4,2014-07-25,2.44,2.24,2.45,87905000,5.357142857142857,1601336.1607142854,66686,Sim
2010-11-19,0,0,0,0.0,Enxurradas,2010/2011,2453.1,2010-07-23,1.45,1.5,1.61,87905000,,,66686,Sim
2009-11-19,0,0,3223,0.0,Inundações,2009/2010,4710.9,2009-11-20,10.17,20.29,11.22,87905000,158.84672252341056,,66686,Sim
2001-04-01,0,0,0,0.0,Enxurradas,2001/2002,4197.4,2001-09-09,7.62,8.71,6.81,87905000,,,66686,Sim
1996-02-12,0,0,0,0.0,Enxurradas,1996/1997,1566.4,1996-01-28,1.13,1.1,1.1,87905000,,,66686,Sim
1995-12-24,0,0,0,0.0,Enxurradas,1995/1996,4295.3,1995-07-20,8.71,10.12,7.48,87905000,,,66686,Sim
1992-04-30,0,0,0,0.0,Enxurradas,1992/1993,4915.0,1992-04-15,20.33,29.55,13.74,87905000,,,66686,Sim
