Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-28,0,0,0,0.0,Enxurradas,2023/2024,31203.6,2023-11-20,32.0,56.32,30.37,75550000,,,5325
2016-04-28,1,1,4897,155000.0,Enxurradas,2016/2017,8672.4,2016-03-27,1.19,1.21,1.22,75550000,4047.107438016529,128099.173553719,5325
2015-11-13,0,0,0,0.0,Enxurradas,2015/2016,19662.9,2015-07-18,4.0,4.56,4.49,75550000,,,5325
2014-10-08,0,1,6117,82000.0,Enxurradas,2014/2015,25490.1,2014-06-30,10.67,14.69,11.51,75550000,416.4057181756297,5582.028590878149,5325
2014-07-15,0,0,1530,1828400.0,Enxurradas,2014/2015,25490.1,2014-06-30,10.67,14.69,11.51,75550000,104.15248468345814,124465.62287270252,5325
2023-11-28,0,0,0,0.0,Enxurradas,2023/2024,482.9,2023-11-18,9.5,8.05,4.07,74900000,,,5325
2016-04-28,1,1,4897,155000.0,Enxurradas,2016/2017,436.8,2016-04-25,5.18,3.85,2.97,74900000,1271.948051948052,40259.74025974026,5325
2015-11-13,0,0,0,0.0,Enxurradas,2015/2016,528.9,2015-12-15,57.0,20.73,5.69,74900000,,,5325
2014-10-08,0,1,6117,82000.0,Enxurradas,2014/2015,517.2,2014-10-01,19.0,15.97,5.22,74900000,383.0306825297433,5134.627426424546,5325
2014-07-15,0,0,1530,1828400.0,Enxurradas,2014/2015,517.2,2014-10-01,19.0,15.97,5.22,74900000,95.80463368816532,114489.66812773953,5325
