Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-12-27,0,0,2246,138000.0,Chuvas Intensas,2023/2024,535.3,2023-06-19,43.5,33.25,10.01,87380000,67.54887218045113,4150.375939849624,69981
2023-06-21,0,0,4212,4260000.0,Chuvas Intensas,2023/2024,535.3,2023-06-19,43.5,33.25,10.01,87380000,126.67669172932332,128120.3007518797,69981
2015-07-30,0,0,2314,6944268.0,Alagamentos,2015/2016,504.8,2015-07-22,29.0,18.28,7.82,87380000,126.58643326039386,379883.36980306346,69981
2013-09-05,0,0,3393,4615750.43,Inundações,2013/2014,539.7,2013-08-28,87.0,36.45,10.37,87380000,93.08641975308642,126632.38491083674,69981
2011-07-22,0,0,1700,0.0,Inundações,2011/2012,481.6,2011-07-23,17.4,12.12,6.51,87380000,140.26402640264027,,69981
2023-12-27,0,0,2246,138000.0,Chuvas Intensas,2023/2024,535.3,2023-06-19,43.5,33.25,10.01,87380000,67.54887218045113,4150.375939849624,69981
2023-06-21,0,0,4212,4260000.0,Chuvas Intensas,2023/2024,535.3,2023-06-19,43.5,33.25,10.01,87380000,126.67669172932332,128120.3007518797,69981
2015-07-30,0,0,2314,6944268.0,Alagamentos,2015/2016,504.8,2015-07-22,29.0,18.28,7.82,87380000,126.58643326039386,379883.36980306346,69981
2013-09-05,0,0,3393,4615750.43,Inundações,2013/2014,539.7,2013-08-28,87.0,36.45,10.37,87380000,93.08641975308642,126632.38491083674,69981
2011-07-22,0,0,1700,0.0,Inundações,2011/2012,481.6,2011-07-23,17.4,12.12,6.51,87380000,140.26402640264027,,69981
