Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-18,0,0,31421,672000.0,Chuvas Intensas,2023/2024,6473.2,2023-09-18,26.33,17.7,12.95,85900000,1775.1977401129943,37966.10169491525,31475,Sim
2023-09-04,0,0,20,20000.0,Chuvas Intensas,2023/2024,6473.2,2023-09-18,26.33,17.7,12.95,85900000,1.1299435028248588,1129.9435028248588,31475,Sim
2021-07-01,0,0,2030,90868.0,Enxurradas,2021/2022,3562.2,2021-09-16,1.76,1.77,1.86,85900000,1146.8926553672316,51337.85310734464,31475,Sim
2014-07-09,0,0,277,1720500.0,Enxurradas,2014/2015,4096.0,2014-07-05,2.14,2.38,2.5,85900000,116.38655462184876,722899.1596638656,31475,Sim
2013-11-25,1,0,302,1180000.01,Enxurradas,2013/2014,4798.3,2013-11-16,3.29,3.88,3.91,85900000,77.83505154639175,304123.7139175258,31475,Sim
2010-11-24,0,0,0,0.0,Inundações,2010/2011,4912.9,2010-01-11,3.59,4.24,4.22,85900000,,,31475,Sim
2010-01-04,2,4,23008,0.0,Enxurradas,2010/2011,4912.9,2010-01-11,3.59,4.24,4.22,85900000,5426.415094339623,,31475,Sim
2009-11-23,0,0,0,210000.0,Inundações,2009/2010,5872.9,2009-11-26,13.17,9.78,8.32,85900000,,21472.39263803681,31475,Sim
2003-12-17,0,0,0,0.0,Enxurradas,2003/2004,4176.1,2003-12-21,2.26,2.51,2.63,85900000,,,31475,Sim
2003-03-07,0,0,0,0.0,Enxurradas,2003/2004,4176.1,2003-12-21,2.26,2.51,2.63,85900000,,,31475,Sim
2002-10-20,0,0,0,1525600.0,Enxurradas,2002/2003,5488.8,2002-10-14,7.9,6.87,6.31,85900000,,222066.9577874818,31475,Sim
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,4162.7,2001-10-06,2.19,2.48,2.61,85900000,,,31475,Sim
1996-01-25,0,0,0,0.0,Enxurradas,1996/1997,2592.9,1996-01-31,1.3,1.22,1.24,85900000,,,31475,Sim
1992-04-30,0,0,0,0.0,Enxurradas,1992/1993,5149.4,1992-04-19,4.94,5.13,4.97,85900000,,,31475,Sim
