Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-06,0,0,1200,740000.0,Enxurradas,2023/2024,482.9,2023-11-18,9.5,8.05,4.07,74900000,149.06832298136644,91925.4658385093,6106,Sim
2022-05-31,0,0,20,15000.0,Enxurradas,2022/2023,313.7,2022-05-04,1.19,1.31,1.48,74900000,15.267175572519085,11450.381679389311,6106,Sim
2020-07-10,0,0,0,150000.0,Enxurradas,2020/2021,425.1,2020-07-08,4.75,3.3,2.75,74900000,,45454.545454545456,6106,Sim
2017-06-09,0,0,4689,725000.0,Chuvas Intensas,2017/2018,527.2,2017-04-26,28.5,19.94,5.62,74900000,235.1554663991976,36359.07723169508,6106,Sim
2017-03-24,0,0,4600,327650.0,Enxurradas,2017/2018,527.2,2017-04-26,28.5,19.94,5.62,74900000,230.69207622868603,16431.795386158476,6106,Sim
2015-12-21,0,0,4600,85670.0,Enxurradas,2015/2016,528.9,2015-12-15,57.0,20.73,5.69,74900000,221.90062711046792,4132.6579835986495,6106,Sim
2014-10-08,0,0,4689,1511240.0,Enxurradas,2014/2015,517.2,2014-10-01,19.0,15.97,5.22,74900000,293.613024420789,94629.9311208516,6106,Sim
2011-04-23,0,0,0,1525600.0,Enxurradas,2011/2012,392.9,2011-04-23,2.04,2.29,2.25,74900000,,666200.8733624454,6106,Sim
2023-11-06,0,0,1200,740000.0,Enxurradas,2023/2024,47533.7,2023-11-19,21.5,33.82,81.67,74800000,35.48196333530456,21880.54405677114,6106,
2022-05-31,0,0,20,15000.0,Enxurradas,2022/2023,25714.9,2022-05-31,4.3,4.72,4.75,74800000,4.237288135593221,3177.966101694916,6106,
2020-07-10,0,0,0,150000.0,Enxurradas,2020/2021,10759.3,2020-06-12,1.26,1.22,1.2,74800000,,122950.81967213115,6106,
2017-06-09,0,0,4689,725000.0,Chuvas Intensas,2017/2018,21325.1,2017-06-02,2.53,3.08,2.87,74800000,1522.4025974025974,235389.6103896104,6106,
2017-03-24,0,0,4600,327650.0,Enxurradas,2017/2018,21325.1,2017-06-02,2.53,3.08,2.87,74800000,1493.5064935064934,106379.87012987012,6106,
2015-12-21,0,0,4600,85670.0,Enxurradas,2015/2016,21891.0,2015-07-16,2.69,3.26,3.05,74800000,1411.0429447852762,26279.14110429448,6106,
2014-10-08,0,0,4689,1511240.0,Enxurradas,2014/2015,35648.3,2014-06-29,14.33,12.04,16.74,74800000,389.4518272425249,125518.27242524918,6106,
2011-04-23,0,0,0,1525600.0,Enxurradas,2011/2012,28507.0,2011-07-23,7.17,6.17,6.69,74800000,,247260.9400324149,6106,
