Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-07,0,0,31497,5403325.32,Chuvas Intensas,2023/2024,4946.4,2023-09-14,61.0,31.37,14.18,87905000,1004.0484539368824,172244.98948039528,56370,Sim
2021-09-14,0,0,300,0.0,Chuvas Intensas,2021/2022,2811.5,2021-09-15,1.85,1.87,2.06,87905000,160.427807486631,,56370,Sim
2021-08-27,0,0,0,100000.0,Chuvas Intensas,2021/2022,2811.5,2021-09-15,1.85,1.87,2.06,87905000,,53475.935828877,56370,Sim
2021-08-20,0,0,4,10000.0,Alagamentos,2021/2022,2811.5,2021-09-15,1.85,1.87,2.06,87905000,2.13903743315508,5347.5935828877,56370,Sim
2021-04-01,0,0,33565,630000.0,Chuvas Intensas,2021/2022,2811.5,2021-09-15,1.85,1.87,2.06,87905000,17949.197860962566,336898.39572192513,56370,Sim
2019-10-30,0,0,33565,1713458.77,Chuvas Intensas,2019/2020,3448.7,2019-11-01,3.39,3.32,3.43,87905000,10109.939759036146,516102.03915662656,56370,Sim
2018-10-09,0,0,200,140000.0,Enxurradas,2018/2019,3169.1,2018-09-03,2.9,2.51,2.71,87905000,79.6812749003984,55776.89243027889,56370,Sim
2017-10-23,0,0,0,0.0,Chuvas Intensas,2017/2018,2811.5,2017-10-23,1.91,1.87,2.06,87905000,,,56370,Sim
2016-04-25,0,0,12032,11052000.0,Chuvas Intensas,2016/2017,2933.1,2016-04-27,2.35,2.05,2.25,87905000,5869.268292682928,5391219.512195122,56370,Sim
2013-10-31,1,0,26,8989197.09,Enxurradas,2013/2014,2686.0,2013-10-28,1.61,1.72,1.88,87905000,15.116279069767442,5226277.377906977,56370,Sim
2012-09-21,0,0,0,0.0,Enxurradas,2012/2013,3117.1,2012-09-19,2.54,2.4,2.6,87905000,,,56370,Sim
2010-11-24,0,0,0,0.0,Enxurradas,2010/2011,2453.1,2010-07-23,1.45,1.5,1.61,87905000,,,56370,Sim
2009-11-18,0,0,0,0.0,Enxurradas,2009/2010,4710.9,2009-11-20,10.17,20.29,11.22,87905000,,,56370,Sim
2002-06-04,0,0,0,365000.0,Enxurradas,2002/2003,4006.0,2002-12-07,6.1,6.6,5.68,87905000,,55303.030303030304,56370,Sim
1995-09-04,0,0,0,0.0,Enxurradas,1995/1996,4295.3,1995-07-20,8.71,10.12,7.48,87905000,,,56370,Sim
1992-03-06,0,0,0,0.0,Enxurradas,1992/1993,4915.0,1992-04-15,20.33,29.55,13.74,87905000,,,56370,Sim
2023-09-07,0,0,31497,5403325.32,Chuvas Intensas,2023/2024,250.4,2023-07-13,2.26,2.65,2.77,88850000,11885.66037735849,2038990.686792453,56370,
2021-09-14,0,0,300,0.0,Chuvas Intensas,2021/2022,146.7,2021-09-08,1.36,1.25,1.27,88850000,240.0,,56370,
2021-08-27,0,0,0,100000.0,Chuvas Intensas,2021/2022,146.7,2021-09-08,1.36,1.25,1.27,88850000,,80000.0,56370,
2021-08-20,0,0,4,10000.0,Alagamentos,2021/2022,146.7,2021-09-08,1.36,1.25,1.27,88850000,3.2,8000.0,56370,
2021-04-01,0,0,33565,630000.0,Chuvas Intensas,2021/2022,146.7,2021-09-08,1.36,1.25,1.27,88850000,26852.0,504000.0,56370,
2019-10-30,0,0,33565,1713458.77,Chuvas Intensas,2019/2020,256.8,2019-09-11,2.44,2.83,2.94,88850000,11860.424028268551,605462.4628975264,56370,
2018-10-09,0,0,200,140000.0,Enxurradas,2018/2019,206.0,2018-09-02,1.74,1.79,1.87,88850000,111.731843575419,78212.2905027933,56370,
2017-10-23,0,0,0,0.0,Chuvas Intensas,2017/2018,275.1,2017-10-13,3.05,3.45,3.53,88850000,,,56370,
2016-04-25,0,0,12032,11052000.0,Chuvas Intensas,2016/2017,207.5,2016-04-25,1.79,1.81,1.89,88850000,6647.513812154696,6106077.348066298,56370,
2013-10-31,1,0,26,8989197.09,Enxurradas,2013/2014,204.5,2013-10-26,1.69,1.77,1.85,88850000,14.689265536723164,5078642.423728813,56370,
2012-09-21,0,0,0,0.0,Enxurradas,2012/2013,173.5,2012-09-18,1.49,1.43,1.48,88850000,,,56370,
2010-11-24,0,0,0,0.0,Enxurradas,2010/2011,95.5,2010-07-19,1.05,1.06,1.06,88850000,,,56370,
2009-11-18,0,0,0,0.0,Enxurradas,2009/2010,194.2,2009-01-28,1.56,1.64,1.71,88850000,,,56370,
2002-06-04,0,0,0,365000.0,Enxurradas,2002/2003,299.0,2002-04-24,3.81,4.55,4.52,88850000,,80219.78021978022,56370,
1995-09-04,0,0,0,0.0,Enxurradas,1995/1996,314.1,1995-07-28,7.62,5.49,5.32,88850000,,,56370,
1992-03-06,0,0,0,0.0,Enxurradas,1992/1993,309.4,1992-04-13,5.55,5.17,5.05,88850000,,,56370,
