Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-28,0,0,1500,1701954.72,Inundações,2023/2024,,,,,,87401600,,,349728
2023-09-28,0,0,10049,2311800.0,Inundações,2023/2024,,,,,,87401600,,,349728
2023-09-18,0,0,262,0.0,Alagamentos,2023/2024,,,,,,87401600,,,349728
2023-06-22,0,0,499,0.0,Alagamentos,2023/2024,,,,,,87401600,,,349728
2017-06-12,0,0,59091,32704800.0,Inundações,2017/2018,10.6,2017-05-26,1.47,1.91,2.09,87401600,30937.696335078534,17122931.937172774,349728
2013-11-19,0,0,301,0.0,Alagamentos+Alagamentos+Chuvas Intensas,2013/2014,18.6,2013-08-30,22.0,62.52,11.83,87401600,4.81445937300064,,349728
2023-11-28,0,0,1500,1701954.72,Inundações,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,144.23076923076923,163649.4923076923,349728
2023-09-28,0,0,10049,2311800.0,Inundações,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,966.25,222288.46153846156,349728
2023-09-18,0,0,262,0.0,Alagamentos,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,25.19230769230769,,349728
2023-06-22,0,0,499,0.0,Alagamentos,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,47.980769230769226,,349728
2017-06-12,0,0,59091,32704800.0,Inundações,2017/2018,137.8,2017-06-10,4.36,3.69,3.7,87399000,16013.821138211382,8863089.43089431,349728
2013-11-19,0,0,301,0.0,Alagamentos+Alagamentos+Chuvas Intensas,2013/2014,224.6,2013-08-30,48.0,85.06,35.97,87399000,3.538678579826005,,349728
2023-11-28,0,0,1500,1701954.72,Inundações,2023/2024,1015.0,2023-06-16,26.5,39.49,57.83,87382000,37.984299822739935,43098.37224613826,349728
2023-09-28,0,0,10049,2311800.0,Inundações,2023/2024,1015.0,2023-06-16,26.5,39.49,57.83,87382000,254.46948594580903,58541.40288680678,349728
2023-09-18,0,0,262,0.0,Alagamentos,2023/2024,1015.0,2023-06-16,26.5,39.49,57.83,87382000,6.634591035705242,,349728
2023-06-22,0,0,499,0.0,Alagamentos,2023/2024,1015.0,2023-06-16,26.5,39.49,57.83,87382000,12.636110407698151,,349728
2017-06-12,0,0,59091,32704800.0,Inundações,2017/2018,545.0,2017-06-08,3.12,3.4,3.36,87382000,17379.70588235294,9619058.823529411,349728
2013-11-19,0,0,301,0.0,Alagamentos+Alagamentos+Chuvas Intensas,2013/2014,1030.2,2013-08-28,53.0,42.71,63.69,87382000,7.047529852493561,,349728
2023-11-28,0,0,1500,1701954.72,Inundações,2023/2024,,,,,,87270000,,,349728
2023-09-28,0,0,10049,2311800.0,Inundações,2023/2024,,,,,,87270000,,,349728
2023-09-18,0,0,262,0.0,Alagamentos,2023/2024,,,,,,87270000,,,349728
2023-06-22,0,0,499,0.0,Alagamentos,2023/2024,,,,,,87270000,,,349728
2017-06-12,0,0,59091,32704800.0,Inundações,2017/2018,,,,,,87270000,,,349728
2013-11-19,0,0,301,0.0,Alagamentos+Alagamentos+Chuvas Intensas,2013/2014,1147.3,2013-08-26,12.0,12.16,6.09,87270000,24.75328947368421,,349728
2023-11-28,0,0,1500,1701954.72,Inundações,2023/2024,,,,,,86895000,,,349728
2023-09-28,0,0,10049,2311800.0,Inundações,2023/2024,,,,,,86895000,,,349728
2023-09-18,0,0,262,0.0,Alagamentos,2023/2024,,,,,,86895000,,,349728
2023-06-22,0,0,499,0.0,Alagamentos,2023/2024,,,,,,86895000,,,349728
2017-06-12,0,0,59091,32704800.0,Inundações,2017/2018,,,,,,86895000,,,349728
2013-11-19,0,0,301,0.0,Alagamentos+Alagamentos+Chuvas Intensas,2013/2014,7967.5,2013-08-26,5.0,5.6,4.52,86895000,53.75,,349728
2023-11-28,0,0,1500,1701954.72,Inundações,2023/2024,6473.2,2023-09-18,26.33,17.7,12.95,85900000,84.74576271186442,96155.63389830508,349728
2023-09-28,0,0,10049,2311800.0,Inundações,2023/2024,6473.2,2023-09-18,26.33,17.7,12.95,85900000,567.7401129943503,130610.16949152543,349728
2023-09-18,0,0,262,0.0,Alagamentos,2023/2024,6473.2,2023-09-18,26.33,17.7,12.95,85900000,14.80225988700565,,349728
2023-06-22,0,0,499,0.0,Alagamentos,2023/2024,6473.2,2023-09-18,26.33,17.7,12.95,85900000,28.19209039548023,,349728
2017-06-12,0,0,59091,32704800.0,Inundações,2017/2018,4572.8,2017-06-04,2.93,3.28,3.37,85900000,18015.548780487807,9970975.6097561,349728
2013-11-19,0,0,301,0.0,Alagamentos+Alagamentos+Chuvas Intensas,2013/2014,4798.3,2013-11-16,3.29,3.88,3.91,85900000,77.57731958762886,,349728
