Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-22,0,0,3699,436550.0,Chuvas Intensas,2023/2024,31203.6,2023-11-20,32.0,56.32,30.37,75550000,65.67826704545455,7751.242897727273,3745
2023-09-11,0,0,0,233550.0,Enxurradas,2023/2024,31203.6,2023-11-20,32.0,56.32,30.37,75550000,,4146.839488636364,3745
2010-12-14,0,0,0,0.0,Enxurradas,2010/2011,15314.9,2010-04-29,2.46,2.3,2.4,75550000,,,3745
2010-06-09,0,0,0,0.0,Enxurradas,2010/2011,15314.9,2010-04-29,2.46,2.3,2.4,75550000,,,3745
2009-12-14,0,0,0,292500.0,Enxurradas,2009/2010,13304.4,2009-09-15,1.88,1.79,1.87,75550000,,163407.82122905029,3745
2023-11-22,0,0,3699,436550.0,Chuvas Intensas,2023/2024,430.8,2023-05-12,1.1,1.14,1.14,75450000,3244.736842105264,382938.5964912281,3745
2023-09-11,0,0,0,233550.0,Enxurradas,2023/2024,430.8,2023-05-12,1.1,1.14,1.14,75450000,,204868.4210526316,3745
2010-12-14,0,0,0,0.0,Enxurradas,2010/2011,1054.5,2010-01-23,3.14,3.89,3.91,75450000,,,3745
2010-06-09,0,0,0,0.0,Enxurradas,2010/2011,1054.5,2010-01-23,3.14,3.89,3.91,75450000,,,3745
2009-12-14,0,0,0,292500.0,Enxurradas,2009/2010,1079.4,2009-11-23,3.45,4.2,4.19,75450000,,69642.85714285714,3745
