Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-09-27,0,0,7313,760200.0,Inundações,2023/2024,591.0,2023-06-17,30.0,56.16,12.51,87374000,130.2172364672365,13536.324786324789,8426
2023-07-18,0,0,0,0.0,Inundações,2023/2024,591.0,2023-06-17,30.0,56.16,12.51,87374000,,,8426
2023-06-18,3,1,7313,8590000.0,Enxurradas,2023/2024,591.0,2023-06-17,30.0,56.16,12.51,87374000,130.2172364672365,152955.84045584046,8426
2019-05-28,0,0,2500,0.0,Inundações,2019/2020,307.8,2019-11-06,1.25,1.38,1.5,87374000,1811.594202898551,,8426
2017-06-02,1,0,1873,293610.0,Enxurradas,2017/2018,387.7,2017-06-03,2.73,2.29,2.43,87374000,817.9039301310044,128213.97379912664,8426
2015-10-22,0,0,0,462078.0,Enxurradas,2015/2016,504.1,2015-07-21,7.5,9.83,5.96,87374000,,47006.91759918616,8426
2015-03-16,0,0,1425,0.0,Inundações,2015/2016,504.1,2015-07-21,7.5,9.83,5.96,87374000,144.96439471007122,,8426
2014-10-24,0,0,632,4500.0,Enxurradas,2014/2015,436.9,2014-09-13,4.29,3.78,3.48,87374000,167.19576719576722,1190.4761904761906,8426
2013-08-29,0,0,210,12000.0,Enxurradas,2013/2014,540.8,2013-08-27,10.0,19.08,8.11,87374000,11.006289308176102,628.930817610063,8426
2012-01-14,0,0,5548,0.0,Enxurradas,2012/2013,565.6,2012-09-11,15.0,31.72,10.03,87374000,174.90542244640605,,8426
2007-03-20,0,0,0,0.0,Enxurradas,2007/2008,404.8,2007-03-22,3.0,2.68,2.74,87374000,,,8426
