Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-17,0,0,30420,1215735.0,Enxurradas,2023/2024,1250.0,2023-06-17,48.0,59.07,14.59,87170000,514.9822244794311,20581.259522600303,30630
2023-09-04,0,0,0,0.0,Enxurradas,2023/2024,1250.0,2023-06-17,48.0,59.07,14.59,87170000,,,30630
2023-06-15,0,0,0,0.0,Movimento de Massa,2023/2024,1250.0,2023-06-17,48.0,59.07,14.59,87170000,,,30630
2020-12-03,0,0,0,0.0,Enxurradas,2020/2021,933.0,2020-07-09,3.43,3.77,3.66,87170000,,,30630
2019-11-05,0,0,0,0.0,Movimento de Massa,2019/2020,746.0,2019-11-06,1.6,1.67,1.86,87170000,,,30630
2023-11-17,0,0,30420,1215735.0,Enxurradas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,3595.7446808510635,143703.90070921983,30630
2023-09-04,0,0,0,0.0,Enxurradas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,,,30630
2023-06-15,0,0,0,0.0,Movimento de Massa,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,,,30630
2020-12-03,0,0,0,0.0,Enxurradas,2020/2021,10536.6,2020-07-08,9.56,14.83,13.15,86510000,,,30630
2019-11-05,0,0,0,0.0,Movimento de Massa,2019/2020,5224.1,2019-11-05,1.87,1.87,1.92,86510000,,,30630
