Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-04,0,0,575,1430325.64,Chuvas Intensas,2023/2024,966.1,2023-11-18,14.0,18.18,12.13,86480000,31.62816281628163,78675.77777777777,9070,Sim
2017-05-27,0,0,750,938110.0,Enxurradas,2017/2018,623.0,2017-04-26,2.8,2.8,2.95,86480000,267.8571428571429,335039.28571428574,9070,Sim
2015-10-15,0,0,756,890080.0,Enxurradas,2015/2016,724.8,2015-10-09,3.89,4.44,4.37,86480000,170.27027027027026,200468.4684684685,9070,Sim
2014-07-14,0,0,4,1720000.0,Enxurradas,2014/2015,628.6,2014-09-29,2.92,2.87,3.01,86480000,1.3937282229965156,599303.1358885018,9070,Sim
2011-08-29,0,0,0,2000.0,Enxurradas,2011/2012,826.1,2011-07-21,7.0,7.63,6.63,86480000,,262.12319790301444,9070,Sim
2004-03-02,0,0,0,0.0,Enxurradas,2004/2005,185.0,2004-10-17,1.04,1.06,1.05,86480000,,,9070,Sim
2003-10-27,0,0,0,0.0,Enxurradas,2003/2004,475.4,2003-12-16,1.75,1.68,1.8,86480000,,,9070,Sim
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,887.1,2001-10-01,8.75,10.96,8.6,86480000,,,9070,Sim
2023-09-04,0,0,575,1430325.64,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,67.96690307328605,169069.2245862884,9070,
2017-05-27,0,0,750,938110.0,Enxurradas,2017/2018,4633.7,2017-06-08,1.62,1.6,1.64,86510000,468.75,586318.75,9070,
2015-10-15,0,0,756,890080.0,Enxurradas,2015/2016,7237.2,2015-10-09,3.19,3.62,3.69,86510000,208.8397790055249,245878.453038674,9070,
2014-07-14,0,0,4,1720000.0,Enxurradas,2014/2015,5497.2,2014-06-06,2.1,2.02,2.08,86510000,1.98019801980198,851485.1485148515,9070,
2011-08-29,0,0,0,2000.0,Enxurradas,2011/2012,12547.5,2011-07-21,43.0,39.22,29.9,86510000,,50.99439061703213,9070,
2004-03-02,0,0,0,0.0,Enxurradas,2004/2005,1967.2,2004-07-16,1.06,1.06,1.06,86510000,,,9070,
2003-10-27,0,0,0,0.0,Enxurradas,2003/2004,4857.3,2003-12-16,1.72,1.7,1.74,86510000,,,9070,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,12763.4,2001-10-01,86.0,43.68,32.69,86510000,,,9070,
