Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-30,0,0,1,0.0,Movimento de Massa,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,0.0036543029417138,,523716
2023-11-17,0,0,435482,9160593.48,Enxurradas,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,1591.3831536634389,33475.583701808886,523716
2023-09-04,0,0,0,1.0,Chuvas Intensas+Movimento de Massa,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,,0.0036543029417138,523716
2023-09-03,0,0,0,71294.0,Chuvas Intensas,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,,260.52987392654853,523716
2019-11-09,0,0,0,0.0,Chuvas Intensas,2019/2020,873.5,2019-11-05,4.42,4.54,4.55,87160000,,,523716
2019-03-06,0,0,0,0.0,Enxurradas,2019/2020,873.5,2019-11-05,4.42,4.54,4.55,87160000,,,523716
2012-02-07,0,0,280,0.0,Enxurradas,2012/2013,770.0,2012-09-19,2.55,3.26,3.31,87160000,85.88957055214725,,523716
2007-02-22,0,0,0,0.0,Enxurradas,2007/2008,998.8,2007-09-23,7.0,6.98,6.82,87160000,,,523716
2000-07-03,0,0,0,0.0,Inundações,2000/2001,432.3,2000-10-14,1.42,1.42,1.43,87160000,,,523716
2023-11-30,0,0,1,0.0,Movimento de Massa,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,0.0036543029417138,,523716
2023-11-17,0,0,435482,9160593.48,Enxurradas,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,1591.3831536634389,33475.583701808886,523716
2023-09-04,0,0,0,1.0,Chuvas Intensas+Movimento de Massa,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,,0.0036543029417138,523716
2023-09-03,0,0,0,71294.0,Chuvas Intensas,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,,260.52987392654853,523716
2019-11-09,0,0,0,0.0,Chuvas Intensas,2019/2020,873.5,2019-11-05,4.42,4.54,4.55,87160000,,,523716
2019-03-06,0,0,0,0.0,Enxurradas,2019/2020,873.5,2019-11-05,4.42,4.54,4.55,87160000,,,523716
2012-02-07,0,0,280,0.0,Enxurradas,2012/2013,770.0,2012-09-19,2.55,3.26,3.31,87160000,85.88957055214725,,523716
2007-02-22,0,0,0,0.0,Enxurradas,2007/2008,998.8,2007-09-23,7.0,6.98,6.82,87160000,,,523716
2000-07-03,0,0,0,0.0,Inundações,2000/2001,432.3,2000-10-14,1.42,1.42,1.43,87160000,,,523716
2023-11-30,0,0,1,0.0,Movimento de Massa,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,0.1182033096926713,,523716
2023-11-17,0,0,435482,9160593.48,Enxurradas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,51475.41371158392,1082812.4680851062,523716
2023-09-04,0,0,0,1.0,Chuvas Intensas+Movimento de Massa,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,,0.1182033096926713,523716
2023-09-03,0,0,0,71294.0,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,,8427.186761229314,523716
2019-11-09,0,0,0,0.0,Chuvas Intensas,2019/2020,5224.1,2019-11-05,1.87,1.87,1.92,86510000,,,523716
2019-03-06,0,0,0,0.0,Enxurradas,2019/2020,5224.1,2019-11-05,1.87,1.87,1.92,86510000,,,523716
2012-02-07,0,0,280,0.0,Enxurradas,2012/2013,1467.6,2012-09-21,1.02,1.03,1.03,86510000,271.8446601941748,,523716
2007-02-22,0,0,0,0.0,Enxurradas,2007/2008,6893.2,2007-07-11,2.77,3.19,3.27,86510000,,,523716
2000-07-03,0,0,0,0.0,Inundações,2000/2001,7898.3,2000-10-13,4.3,4.68,4.7,86510000,,,523716
