Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-17,0,0,2967,2836645.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,133.40827338129498,127546.98741007196,2865
2023-11-03,0,0,2967,1262115.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,133.40827338129498,56749.77517985612,2865
2023-10-17,0,0,78,669000.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,3.507194244604317,30080.935251798564,2865
2023-10-07,0,0,2721,515500.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,122.34712230215828,23178.95683453237,2865
2017-06-19,0,0,0,0.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,,,2865
2014-07-03,0,0,2,1583454.0,Enxurradas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,0.182648401826484,144607.67123287672,2865
2011-08-30,0,0,0,2660000.0,Enxurradas,2011/2012,21334.8,2011-08-31,5.5,5.66,6.04,74100000,,469964.6643109541,2865
2010-09-24,0,0,0,0.0,Enxurradas,2010/2011,21617.7,2010-04-27,6.6,5.85,6.29,74100000,,,2865
1997-09-15,0,0,0,0.0,Enxurradas,1997/1998,23764.7,1997-10-12,8.25,7.47,8.68,74100000,,,2865
2023-11-17,0,0,2967,2836645.0,Chuvas Intensas,2023/2024,1440.1,2023-11-17,23.0,30.44,15.82,72630000,97.47043363994744,93188.07490144546,2865
2023-11-03,0,0,2967,1262115.0,Chuvas Intensas,2023/2024,1440.1,2023-11-17,23.0,30.44,15.82,72630000,97.47043363994744,41462.385019710906,2865
2023-10-17,0,0,78,669000.0,Chuvas Intensas,2023/2024,1440.1,2023-11-17,23.0,30.44,15.82,72630000,2.562417871222076,21977.66097240473,2865
2023-10-07,0,0,2721,515500.0,Chuvas Intensas,2023/2024,1440.1,2023-11-17,23.0,30.44,15.82,72630000,89.38896189224704,16934.95400788436,2865
2017-06-19,0,0,0,0.0,Enxurradas,2017/2018,949.7,2017-05-31,3.0,2.83,3.0,72630000,,,2865
2014-07-03,0,0,2,1583454.0,Enxurradas,2014/2015,1281.1,2014-06-27,11.5,12.19,8.99,72630000,0.1640689089417555,129897.78506972927,2865
2011-08-30,0,0,0,2660000.0,Enxurradas,2011/2012,1119.6,2011-07-21,4.6,5.52,5.16,72630000,,481884.0579710145,2865
2010-09-24,0,0,0,0.0,Enxurradas,2010/2011,954.3,2010-09-23,3.14,2.88,3.04,72630000,,,2865
1997-09-15,0,0,0,0.0,Enxurradas,1997/1998,1196.4,1997-10-12,6.27,7.9,6.7,72630000,,,2865
