Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-27,0,0,2417,132000.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,827.7397260273973,45205.4794520548,2281,Sim
2023-09-08,0,0,2417,26000.0,Enxurradas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,827.7397260273973,8904.109589041096,2281,Sim
2022-05-30,0,0,2417,8000.0,Enxurradas,2022/2023,15002.0,2022-10-12,2.43,2.69,2.86,74500000,898.5130111524164,2973.977695167286,2281,Sim
2017-04-27,0,0,1680,290000.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,604.31654676259,104316.54676258992,2281,Sim
2015-07-30,0,0,2000,55084.0,Enxurradas,2015/2016,21334.6,2015-07-15,5.67,2.86,8.38,74500000,699.3006993006993,19260.13986013986,2281,Sim
2014-07-03,0,0,0,45804.25,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,,14823.381877022652,2281,Sim
2010-12-12,0,0,0,0.0,Enxurradas,2010/2011,,,,,,74500000,,,2281,Sim
2009-11-30,0,0,0,0.0,Enxurradas,2009/2010,,,,,,74500000,,,2281,Sim
1996-02-12,0,0,0,0.0,Enxurradas,1996/1997,,,,,,74500000,,,2281,Sim
2023-11-27,0,0,2417,132000.0,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,895.1851851851851,48888.88888888888,2281,
2023-09-08,0,0,2417,26000.0,Enxurradas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,895.1851851851851,9629.62962962963,2281,
2022-05-30,0,0,2417,8000.0,Enxurradas,2022/2023,1926.4,2022-05-30,2.02,2.14,2.09,74270000,1129.4392523364486,3738.3177570093458,2281,
2017-04-27,0,0,1680,290000.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,316.9811320754717,54716.981132075474,2281,
2015-07-30,0,0,2000,55084.0,Enxurradas,2015/2016,4426.1,2015-12-15,14.17,21.99,26.35,74270000,90.95043201455208,2504.9567985447934,2281,
2014-07-03,0,0,0,45804.25,Enxurradas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,,1882.624332100288,2281,
2010-12-12,0,0,0,0.0,Enxurradas,2010/2011,2622.4,2010-04-27,4.05,3.87,3.9,74270000,,,2281,
2009-11-30,0,0,0,0.0,Enxurradas,2009/2010,1944.6,2009-09-29,2.18,2.17,2.12,74270000,,,2281,
1996-02-12,0,0,0,0.0,Enxurradas,1996/1997,1689.0,1996-09-01,1.81,1.79,1.74,74270000,,,2281,
