Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-07-13,0,0,13289,81000.0,Chuvas Intensas,2023/2024,682.5,2023-11-18,2.74,2.8,3.0,75295000,4746.071428571428,28928.57142857143,14243,
2017-06-02,0,0,2730,918000.0,Chuvas Intensas,2017/2018,810.1,2017-05-28,4.33,6.59,5.42,75295000,414.2640364188164,139301.9726858877,14243,
2009-11-25,0,0,0,7387000.0,Enxurradas,2009/2010,587.7,2009-11-23,1.86,1.82,2.04,75295000,,4058791.208791209,14243,
2023-07-13,0,0,13289,81000.0,Chuvas Intensas,2023/2024,2480.0,2023-11-18,42.5,30.83,51.83,75230000,431.041193642556,2627.311060655206,14243,Sim
2017-06-02,0,0,2730,918000.0,Chuvas Intensas,2017/2018,2294.1,2017-06-10,21.25,22.13,33.26,75230000,123.36195210122008,41482.15092634433,14243,Sim
2009-11-25,0,0,0,7387000.0,Enxurradas,2009/2010,1176.3,2009-08-10,3.27,2.86,2.74,75230000,,2582867.132867133,14243,Sim
2023-07-13,0,0,13289,81000.0,Chuvas Intensas,2023/2024,31203.6,2023-11-20,32.0,56.32,30.37,75550000,235.9552556818182,1438.2102272727273,14243,
2017-06-02,0,0,2730,918000.0,Chuvas Intensas,2017/2018,22607.4,2017-06-03,8.0,7.99,7.16,75550000,341.67709637046306,114893.6170212766,14243,
2009-11-25,0,0,0,7387000.0,Enxurradas,2009/2010,13304.4,2009-09-15,1.88,1.79,1.87,75550000,,4126815.6424581,14243,
2023-07-13,0,0,13289,81000.0,Chuvas Intensas,2023/2024,482.9,2023-11-18,9.5,8.05,4.07,74900000,1650.807453416149,10062.111801242236,14243,
2017-06-02,0,0,2730,918000.0,Chuvas Intensas,2017/2018,527.2,2017-04-26,28.5,19.94,5.62,74900000,136.91073219658975,46038.11434302908,14243,
2009-11-25,0,0,0,7387000.0,Enxurradas,2009/2010,413.5,2009-11-23,2.85,2.86,2.55,74900000,,2582867.132867133,14243,
