Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-17,0,0,960,1250000.0,Chuvas Intensas,2023/2024,,,,,,86895000,,,41705,
2023-09-05,0,0,150,200000.0,Chuvas Intensas,2023/2024,,,,,,86895000,,,41705,
2013-11-29,0,0,560,0.0,Enxurradas,2013/2014,7967.5,2013-08-26,5.0,5.6,4.52,86895000,100.0,,41705,
2009-09-14,0,0,447,0.0,Inundações,2009/2010,8053.9,2009-09-13,6.25,5.97,4.7,86895000,74.87437185929649,,41705,
2007-11-28,0,0,500,0.0,Inundações,2007/2008,8325.0,2007-07-11,10.0,7.38,5.28,86895000,67.75067750677506,,41705,
2002-06-11,0,0,95,385000.0,Inundações,2002/2003,7382.5,2002-06-13,3.33,3.76,3.54,86895000,25.26595744680851,102393.6170212766,41705,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86895000,,,41705,
1993-07-06,0,0,0,0.0,Inundações,1993/1994,6353.9,1993-07-06,1.92,2.19,2.37,86895000,,,41705,
2023-11-17,0,0,960,1250000.0,Chuvas Intensas,2023/2024,6473.2,2023-09-18,26.33,17.7,12.95,85900000,54.237288135593225,70621.46892655367,41705,Sim
2023-09-05,0,0,150,200000.0,Chuvas Intensas,2023/2024,6473.2,2023-09-18,26.33,17.7,12.95,85900000,8.474576271186441,11299.435028248588,41705,Sim
2013-11-29,0,0,560,0.0,Enxurradas,2013/2014,4798.3,2013-11-16,3.29,3.88,3.91,85900000,144.3298969072165,,41705,Sim
2009-09-14,0,0,447,0.0,Inundações,2009/2010,5872.9,2009-11-26,13.17,9.78,8.32,85900000,45.70552147239264,,41705,Sim
2007-11-28,0,0,500,0.0,Inundações,2007/2008,4537.9,2007-09-29,2.72,3.2,3.3,85900000,156.25,,41705,Sim
2002-06-11,0,0,95,385000.0,Inundações,2002/2003,5488.8,2002-10-14,7.9,6.87,6.31,85900000,13.828238719068413,56040.75691411936,41705,Sim
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,4162.7,2001-10-06,2.19,2.48,2.61,85900000,,,41705,Sim
1993-07-06,0,0,0,0.0,Inundações,1993/1994,3772.7,1993-06-09,1.98,1.97,2.08,85900000,,,41705,Sim
