Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-07,0,0,2768,460000.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,124.46043165467628,20683.453237410075,3228
2017-06-07,0,3,1884,339700.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,385.2760736196319,69468.30265848672,3228
2014-07-04,0,0,25,30000.0,Inundações,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,2.2831050228310503,2739.7260273972606,3228
2011-07-21,0,0,0,151700.0,Enxurradas,2011/2012,21334.8,2011-08-31,5.5,5.66,6.04,74100000,,26802.120141342755,3228
2010-12-03,0,0,0,0.0,Enxurradas,2010/2011,21617.7,2010-04-27,6.6,5.85,6.29,74100000,,,3228
2009-12-02,0,1,3582,84250.0,Enxurradas,2009/2010,20928.6,2009-09-29,4.4,5.4,5.69,74100000,663.3333333333333,15601.85185185185,3228
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,10311.3,1993-06-06,1.69,1.63,1.52,74100000,,,3228
2023-10-07,0,0,2768,460000.0,Chuvas Intensas,2023/2024,1440.1,2023-11-17,23.0,30.44,15.82,72630000,90.9329829172142,15111.695137976349,3228
2017-06-07,0,3,1884,339700.0,Enxurradas,2017/2018,949.7,2017-05-31,3.0,2.83,3.0,72630000,665.7243816254417,120035.33568904594,3228
2014-07-04,0,0,25,30000.0,Inundações,2014/2015,1281.1,2014-06-27,11.5,12.19,8.99,72630000,2.050861361771944,2461.0336341263333,3228
2011-07-21,0,0,0,151700.0,Enxurradas,2011/2012,1119.6,2011-07-21,4.6,5.52,5.16,72630000,,27481.884057971016,3228
2010-12-03,0,0,0,0.0,Enxurradas,2010/2011,954.3,2010-09-23,3.14,2.88,3.04,72630000,,,3228
2009-12-02,0,1,3582,84250.0,Enxurradas,2009/2010,877.2,2009-09-13,2.16,2.25,2.43,72630000,1592.0,37444.444444444445,3228
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,1319.5,1993-07-04,13.8,15.03,10.29,72630000,,,3228
