Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-12-06,0,0,225,1805000.0,Chuvas Intensas,2023/2024,47533.7,2023-11-19,21.5,33.82,81.67,74800000,6.652868125369603,53370.786516853936,3684,
2017-06-02,0,0,2850,1206550.0,Enxurradas,2017/2018,21325.1,2017-06-02,2.53,3.08,2.87,74800000,925.3246753246754,391737.012987013,3684,
2014-07-17,0,0,70,0.0,Enxurradas,2014/2015,35648.3,2014-06-29,14.33,12.04,16.74,74800000,5.813953488372094,,3684,
1997-10-15,0,0,0,0.0,Enxurradas,1997/1998,31788.0,1997-10-13,8.6,8.43,10.14,74800000,,,3684,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,48658.6,1992-05-31,43.0,37.1,95.03,74800000,,,3684,
2023-12-06,0,0,225,1805000.0,Chuvas Intensas,2023/2024,1292.1,2023-11-18,14.5,10.6,11.79,74610000,21.22641509433962,170283.01886792455,3684,Sim
2017-06-02,0,0,2850,1206550.0,Enxurradas,2017/2018,1144.8,2017-04-27,5.8,6.71,7.08,74610000,424.7391952309985,179813.71087928466,3684,Sim
2014-07-17,0,0,70,0.0,Enxurradas,2014/2015,1936.6,2014-09-30,29.0,78.33,120.52,74610000,0.8936550491510277,,3684,Sim
1997-10-15,0,0,0,0.0,Enxurradas,1997/1998,1004.0,1997-10-30,3.22,4.38,4.44,74610000,,,3684,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,,,,,,74610000,,,3684,Sim
