Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-04,0,0,4146,50000.0,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,490.0709219858156,5910.16548463357,4693,
2022-05-02,0,0,984,1286400.0,Enxurradas,2022/2023,4884.0,2022-05-04,1.76,1.71,1.75,86510000,575.438596491228,752280.701754386,4693,
2017-06-08,0,0,1428,811403.0,Enxurradas,2017/2018,4633.7,2017-06-08,1.62,1.6,1.64,86510000,892.5,507126.875,4693,
2014-07-14,0,0,2,718200.0,Enxurradas,2014/2015,5497.2,2014-06-06,2.1,2.02,2.08,86510000,0.99009900990099,355544.5544554456,4693,
2011-07-20,0,0,0,980500.0,Enxurradas,2011/2012,12547.5,2011-07-21,43.0,39.22,29.9,86510000,,25000.0,4693,
2010-01-17,0,0,0,216200.0,Enxurradas,2010/2011,5326.6,2010-09-23,1.95,1.92,1.98,86510000,,112604.16666666669,4693,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,8658.1,1992-05-28,5.38,6.4,6.26,86510000,,,4693,
2023-09-04,0,0,4146,50000.0,Chuvas Intensas,2023/2024,966.1,2023-11-18,14.0,18.18,12.13,86480000,228.05280528052805,2750.27502750275,4693,
2022-05-02,0,0,984,1286400.0,Enxurradas,2022/2023,703.2,2022-05-03,3.5,4.0,4.01,86480000,246.0,321600.0,4693,
2017-06-08,0,0,1428,811403.0,Enxurradas,2017/2018,623.0,2017-04-26,2.8,2.8,2.95,86480000,510.00000000000006,289786.78571428574,4693,
2014-07-14,0,0,2,718200.0,Enxurradas,2014/2015,628.6,2014-09-29,2.92,2.87,3.01,86480000,0.6968641114982578,250243.9024390244,4693,
2011-07-20,0,0,0,980500.0,Enxurradas,2011/2012,826.1,2011-07-21,7.0,7.63,6.63,86480000,,128505.89777195282,4693,
2010-01-17,0,0,0,216200.0,Enxurradas,2010/2011,760.7,2010-09-22,4.12,5.33,5.05,86480000,,40562.85178236398,4693,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,1077.3,1992-05-28,70.0,39.57,19.84,86480000,,,4693,
2023-09-04,0,0,4146,50000.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,186.4208633093525,2248.201438848921,4693,
2022-05-02,0,0,984,1286400.0,Enxurradas,2022/2023,19726.7,2022-10-12,3.88,4.7,4.78,74100000,209.3617021276596,273702.12765957444,4693,
2017-06-08,0,0,1428,811403.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,292.02453987730064,165931.08384458075,4693,
2014-07-14,0,0,2,718200.0,Enxurradas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,0.182648401826484,65589.04109589041,4693,
2011-07-20,0,0,0,980500.0,Enxurradas,2011/2012,21334.8,2011-08-31,5.5,5.66,6.04,74100000,,173233.21554770318,4693,
2010-01-17,0,0,0,216200.0,Enxurradas,2010/2011,21617.7,2010-04-27,6.6,5.85,6.29,74100000,,36957.26495726496,4693,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,34898.4,1992-05-29,22.0,25.07,49.63,74100000,,,4693,
2023-09-04,0,0,4146,50000.0,Chuvas Intensas,2023/2024,1440.1,2023-11-17,23.0,30.44,15.82,72630000,136.2023653088042,1642.5755584756898,4693,Sim
2022-05-02,0,0,984,1286400.0,Enxurradas,2022/2023,1063.2,2022-05-30,3.83,4.34,4.29,72630000,226.72811059907835,296405.5299539171,4693,Sim
2017-06-08,0,0,1428,811403.0,Enxurradas,2017/2018,949.7,2017-05-31,3.0,2.83,3.0,72630000,504.5936395759717,286714.8409893993,4693,Sim
2014-07-14,0,0,2,718200.0,Enxurradas,2014/2015,1281.1,2014-06-27,11.5,12.19,8.99,72630000,0.1640689089417555,58917.145200984414,4693,Sim
2011-07-20,0,0,0,980500.0,Enxurradas,2011/2012,1119.6,2011-07-21,4.6,5.52,5.16,72630000,,177626.8115942029,4693,Sim
2010-01-17,0,0,0,216200.0,Enxurradas,2010/2011,954.3,2010-09-23,3.14,2.88,3.04,72630000,,75069.44444444445,4693,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,713.8,1992-07-02,1.5,1.51,1.61,72630000,,,4693,Sim
