Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-18,0,0,2175,2060812.38,Chuvas Intensas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,158.87509130752375,150534.14024835647,2466
2023-09-04,0,30,2147,3310000.0,Chuvas Intensas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,156.82980277574873,241782.32286340397,2466
2023-06-17,0,0,31,250000.0,Movimento de Massa,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,2.264426588750913,18261.504747991235,2466
2020-07-10,1,0,341,50000.0,Inundações,2020/2021,14003.0,2020-07-08,69.0,21.5,22.19,86720000,15.86046511627907,2325.5813953488373,2466
2010-11-27,0,0,0,0.0,Enxurradas,2010/2011,6296.1,2010-09-23,2.09,1.98,1.98,86720000,,,2466
2010-01-04,0,1,1922,410000.0,Enxurradas,2010/2011,6296.1,2010-09-23,2.09,1.98,1.98,86720000,970.7070707070708,207070.70707070708,2466
2009-11-23,0,0,1787,650000.0,Enxurradas,2009/2010,9342.3,2009-09-12,3.45,4.63,4.69,86720000,385.9611231101512,140388.7688984881,2466
2008-10-26,1,0,187,600000.0,Inundações,2008/2009,12193.7,2008-10-26,7.67,11.64,11.94,86720000,16.06529209621993,51546.391752577314,2466
2007-09-24,0,0,195,139240.0,Inundações,2007/2008,10641.1,2007-07-11,5.31,6.98,7.11,86720000,27.93696275071633,19948.42406876791,2466
2001-08-09,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86720000,,,2466
2001-07-21,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86720000,,,2466
2023-11-18,0,0,2175,2060812.38,Chuvas Intensas,2023/2024,,,,,,86895000,,,2466
2023-09-04,0,30,2147,3310000.0,Chuvas Intensas,2023/2024,,,,,,86895000,,,2466
2023-06-17,0,0,31,250000.0,Movimento de Massa,2023/2024,,,,,,86895000,,,2466
2020-07-10,1,0,341,50000.0,Inundações,2020/2021,,,,,,86895000,,,2466
2010-11-27,0,0,0,0.0,Enxurradas,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,,,2466
2010-01-04,0,1,1922,410000.0,Enxurradas,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,420.5689277899343,89715.53610503282,2466
2009-11-23,0,0,1787,650000.0,Enxurradas,2009/2010,8053.9,2009-09-13,6.25,5.97,4.7,86895000,299.32998324958123,108877.7219430486,2466
2008-10-26,1,0,187,600000.0,Inundações,2008/2009,8579.9,2008-10-27,12.5,9.12,5.91,86895000,20.50438596491228,65789.47368421053,2466
2007-09-24,0,0,195,139240.0,Inundações,2007/2008,8325.0,2007-07-11,10.0,7.38,5.28,86895000,26.42276422764228,18867.208672086723,2466
2001-08-09,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86895000,,,2466
2001-07-21,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86895000,,,2466
