Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-08,0,0,9741,7332000.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,3335.958904109589,2510958.9041095893,9903
2017-05-31,0,0,3300,350000.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,1187.0503597122304,125899.28057553958,9903
2015-01-12,0,0,2300,0.0,Enxurradas,2015/2016,21334.6,2015-07-15,5.67,2.86,8.38,74500000,804.1958041958043,,9903
2014-07-04,0,0,0,0.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,,,9903
2014-04-16,0,0,0,500000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,,161812.29773462785,9903
2009-12-31,0,0,0,0.0,Enxurradas,2009/2010,,,,,,74500000,,,9903
2023-11-08,0,0,9741,7332000.0,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,3607.7777777777774,2715555.5555555555,9903
2017-05-31,0,0,3300,350000.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,622.6415094339623,66037.73584905661,9903
2015-01-12,0,0,2300,0.0,Enxurradas,2015/2016,4426.1,2015-12-15,14.17,21.99,26.35,74270000,104.59299681673488,,9903
2014-07-04,0,0,0,0.0,Enxurradas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,,,9903
2014-04-16,0,0,0,500000.0,Enxurradas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,,20550.760378133997,9903
2009-12-31,0,0,0,0.0,Enxurradas,2009/2010,1944.6,2009-09-29,2.18,2.17,2.12,74270000,,,9903
