Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-11,0,0,7748,600000.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,2653.4246575342468,205479.45205479453,7213
2017-05-24,0,0,3994,1538840.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,1436.6906474820146,553539.5683453238,7213
2017-05-22,0,0,30,9200.0,Chuvas Intensas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,10.79136690647482,3309.352517985612,7213
2014-10-06,0,0,40,2540000.0,Chuvas Intensas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,12.944983818770227,822006.4724919094,7213
2014-07-02,0,0,120,2620000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,38.83495145631069,847896.4401294498,7213
2010-12-03,0,0,0,0.0,Enxurradas,2010/2011,,,,,,74500000,,,7213
2009-12-02,0,0,0,0.0,Enxurradas,2009/2010,,,,,,74500000,,,7213
2000-12-13,0,0,0,0.0,Enxurradas,2000/2001,,,,,,74500000,,,7213
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,,,,,,74500000,,,7213
1997-10-13,0,0,0,0.0,Enxurradas,1997/1998,,,,,,74500000,,,7213
1994-05-17,0,0,0,0.0,Enxurradas,1994/1995,,,,,,74500000,,,7213
1993-09-29,0,0,0,0.0,Inundações,1993/1994,,,,,,74500000,,,7213
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,,,,,,74500000,,,7213
2023-10-11,0,0,7748,600000.0,Chuvas Intensas,2023/2024,476.2,2023-11-17,3.26,3.23,3.25,74470000,2398.7616099071206,185758.51393188853,7213
2017-05-24,0,0,3994,1538840.0,Enxurradas,2017/2018,759.3,2017-06-08,15.5,17.72,17.82,74470000,225.3950338600452,86841.98645598194,7213
2017-05-22,0,0,30,9200.0,Chuvas Intensas,2017/2018,759.3,2017-06-08,15.5,17.72,17.82,74470000,1.6930022573363432,519.1873589164786,7213
2014-10-06,0,0,40,2540000.0,Chuvas Intensas,2014/2015,841.5,2014-10-01,31.0,30.12,30.12,74470000,1.3280212483399734,84329.34926958832,7213
2014-07-02,0,0,120,2620000.0,Enxurradas,2014/2015,841.5,2014-10-01,31.0,30.12,30.12,74470000,3.98406374501992,86985.39176626825,7213
2010-12-03,0,0,0,0.0,Enxurradas,2010/2011,395.6,2010-05-18,2.14,2.16,2.16,74470000,,,7213
2009-12-02,0,0,0,0.0,Enxurradas,2009/2010,587.8,2009-11-22,5.17,6.1,6.16,74470000,,,7213
2000-12-13,0,0,0,0.0,Enxurradas,2000/2001,437.7,2000-10-13,2.82,2.65,2.66,74470000,,,7213
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,715.4,1998-03-18,12.4,13.39,13.5,74470000,,,7213
1997-10-13,0,0,0,0.0,Enxurradas,1997/1998,640.0,1997-08-03,6.89,8.36,8.45,74470000,,,7213
1994-05-17,0,0,0,0.0,Enxurradas,1994/1995,553.2,1994-07-01,4.43,4.97,5.02,74470000,,,7213
1993-09-29,0,0,0,0.0,Inundações,1993/1994,226.2,1993-10-03,1.27,1.18,1.18,74470000,,,7213
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,226.2,1993-10-03,1.27,1.18,1.18,74470000,,,7213
