Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-18,0,0,3917,500000.0,Enxurradas,2023/2024,906.3,2023-07-13,3.31,3.87,3.92,86500000,1012.1447028423772,129198.96640826872,3824,
2023-09-04,0,0,3917,5300000.0,Enxurradas,2023/2024,906.3,2023-07-13,3.31,3.87,3.92,86500000,1012.1447028423772,1369509.0439276486,3824,
2010-01-05,0,0,0,589040.0,Enxurradas,2010/2011,1093.4,2010-09-22,6.62,7.16,7.25,86500000,,82268.156424581,3824,
2003-07-08,0,2,3,211062.5,Enxurradas,2003/2004,698.4,2003-12-16,2.15,2.12,2.13,86500000,1.4150943396226414,99557.78301886792,3824,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1261.3,2001-10-01,10.75,12.93,12.98,86500000,,,3824,
2023-11-18,0,0,3917,500000.0,Enxurradas,2023/2024,325.9,2023-09-04,33.5,62.16,195.6,86420000,63.01480051480052,8043.758043758045,3824,
2023-09-04,0,0,3917,5300000.0,Enxurradas,2023/2024,325.9,2023-09-04,33.5,62.16,195.6,86420000,63.01480051480052,85263.83526383527,3824,
2010-01-05,0,0,0,589040.0,Enxurradas,2010/2011,124.1,2010-09-22,3.05,2.91,2.76,86420000,,202419.2439862543,3824,
2003-07-08,0,2,3,211062.5,Enxurradas,2003/2004,91.4,2003-12-16,1.81,1.77,1.65,86420000,1.694915254237288,119244.35028248587,3824,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,389.0,2001-10-01,67.0,142.76,790.67,86420000,,,3824,
2023-11-18,0,0,3917,500000.0,Enxurradas,2023/2024,2931.9,2023-11-18,69.0,83.5,131.89,86410000,46.91017964071856,5988.023952095808,3824,Sim
2023-09-04,0,0,3917,5300000.0,Enxurradas,2023/2024,2931.9,2023-11-18,69.0,83.5,131.89,86410000,46.91017964071856,63473.05389221557,3824,Sim
2010-01-05,0,0,0,589040.0,Enxurradas,2010/2011,857.7,2010-09-22,1.82,1.9,1.86,86410000,,310021.052631579,3824,Sim
2003-07-08,0,2,3,211062.5,Enxurradas,2003/2004,1165.6,2003-02-20,3.45,3.11,3.1,86410000,0.964630225080386,67865.75562700965,3824,Sim
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1880.0,2001-07-20,8.62,11.54,13.11,86410000,,,3824,Sim
2023-11-18,0,0,3917,500000.0,Enxurradas,2023/2024,299.3,2023-07-13,1.55,1.43,1.49,86160000,2739.1608391608397,349650.34965034964,3824,
2023-09-04,0,0,3917,5300000.0,Enxurradas,2023/2024,299.3,2023-07-13,1.55,1.43,1.49,86160000,2739.1608391608397,3706293.7062937054,3824,
2010-01-05,0,0,0,589040.0,Enxurradas,2010/2011,301.6,2010-04-26,1.57,1.44,1.51,86160000,,409055.5555555556,3824,
2003-07-08,0,2,3,211062.5,Enxurradas,2003/2004,798.0,2003-02-20,85.0,79.3,31.62,86160000,0.0378310214375788,2661.56998738966,3824,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,661.7,2001-10-01,17.0,17.81,12.33,86160000,,,3824,
2023-11-18,0,0,3917,500000.0,Enxurradas,2023/2024,1508.3,2023-09-04,17.2,22.62,35.15,86100000,173.1653404067197,22104.33244916004,3824,
2023-09-04,0,0,3917,5300000.0,Enxurradas,2023/2024,1508.3,2023-09-04,17.2,22.62,35.15,86100000,173.1653404067197,234305.9239610964,3824,
2010-01-05,0,0,0,589040.0,Enxurradas,2010/2011,736.9,2010-05-13,2.77,2.73,2.6,86100000,,215765.56776556777,3824,
2003-07-08,0,2,3,211062.5,Enxurradas,2003/2004,1734.9,2003-02-19,43.0,41.03,79.93,86100000,0.073117231294175,5144.101876675603,3824,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1525.5,2001-10-01,21.5,23.68,37.41,86100000,,,3824,
2023-11-18,0,0,3917,500000.0,Enxurradas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,463.0023640661938,59101.65484633569,3824,
2023-09-04,0,0,3917,5300000.0,Enxurradas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,463.0023640661938,626477.5413711583,3824,
2010-01-05,0,0,0,589040.0,Enxurradas,2010/2011,5326.6,2010-09-23,1.95,1.92,1.98,86510000,,306791.6666666667,3824,
2003-07-08,0,2,3,211062.5,Enxurradas,2003/2004,4857.3,2003-12-16,1.72,1.7,1.74,86510000,1.7647058823529411,124154.41176470587,3824,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,12763.4,2001-10-01,86.0,43.68,32.69,86510000,,,3824,
