Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-27,0,0,4500,545307.6,Enxurradas,2023/2024,47533.7,2023-11-19,21.5,33.82,81.67,74800000,133.05736250739207,16123.8202247191,13269
2023-10-26,0,0,14085,15500.0,Chuvas Intensas,2023/2024,47533.7,2023-11-19,21.5,33.82,81.67,74800000,416.4695446481372,458.3086930810172,13269
2022-06-10,0,0,5000,1550000.0,Enxurradas,2022/2023,25714.9,2022-05-31,4.3,4.72,4.75,74800000,1059.322033898305,328389.8305084746,13269
2021-10-22,0,0,0,0.0,Chuvas Intensas,2021/2022,8371.7,2021-10-17,1.1,1.07,1.09,74800000,,,13269
2018-10-25,0,0,0,0.0,Enxurradas,2018/2019,11533.9,2018-10-20,1.3,1.29,1.25,74800000,,,13269
2017-06-02,0,0,1010,100000.0,Chuvas Intensas,2017/2018,21325.1,2017-06-02,2.53,3.08,2.87,74800000,327.9220779220779,32467.532467532463,13269
2017-04-12,0,0,100,500000.0,Chuvas Intensas,2017/2018,21325.1,2017-06-02,2.53,3.08,2.87,74800000,32.467532467532465,162337.66233766233,13269
2014-07-04,0,0,100,2750000.0,Chuvas Intensas,2014/2015,35648.3,2014-06-29,14.33,12.04,16.74,74800000,8.305647840531561,228405.31561461795,13269
2014-04-17,0,0,7007,1550000.0,Enxurradas,2014/2015,35648.3,2014-06-29,14.33,12.04,16.74,74800000,581.9767441860465,128737.5415282392,13269
2023-11-27,0,0,4500,545307.6,Enxurradas,2023/2024,1292.1,2023-11-18,14.5,10.6,11.79,74610000,424.52830188679246,51444.11320754717,13269
2023-10-26,0,0,14085,15500.0,Chuvas Intensas,2023/2024,1292.1,2023-11-18,14.5,10.6,11.79,74610000,1328.7735849056603,1462.2641509433963,13269
2022-06-10,0,0,5000,1550000.0,Enxurradas,2022/2023,1084.8,2022-05-29,4.83,5.59,5.79,74610000,894.4543828264759,277280.85867620754,13269
2021-10-22,0,0,0,0.0,Chuvas Intensas,2021/2022,593.2,2021-10-09,1.71,1.5,1.46,74610000,,,13269
2018-10-25,0,0,0,0.0,Enxurradas,2018/2019,588.5,2018-10-18,1.61,1.48,1.45,74610000,,,13269
2017-06-02,0,0,1010,100000.0,Chuvas Intensas,2017/2018,1144.8,2017-04-27,5.8,6.71,7.08,74610000,150.521609538003,14903.129657228015,13269
2017-04-12,0,0,100,500000.0,Chuvas Intensas,2017/2018,1144.8,2017-04-27,5.8,6.71,7.08,74610000,14.903129657228018,74515.64828614009,13269
2014-07-04,0,0,100,2750000.0,Chuvas Intensas,2014/2015,1936.6,2014-09-30,29.0,78.33,120.52,74610000,1.276650070215754,35107.876930933235,13269
2014-04-17,0,0,7007,1550000.0,Enxurradas,2014/2015,1936.6,2014-09-30,29.0,78.33,120.52,74610000,89.45487042001787,19788.076088344184,13269
