Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-09-13,1,0,169,901690.0,Chuvas Intensas,2023/2024,4946.4,2023-09-14,61.0,31.37,14.18,87905000,5.387312719158431,28743.704175964296,8121
2019-11-08,0,0,829,277188.0,Chuvas Intensas,2019/2020,3448.7,2019-11-01,3.39,3.32,3.43,87905000,249.6987951807229,83490.36144578314,8121
2017-06-02,0,0,1664,892008.0,Chuvas Intensas,2017/2018,2811.5,2017-10-23,1.91,1.87,2.06,87905000,889.8395721925133,477009.6256684492,8121
2017-03-15,0,0,399,900000.0,Chuvas Intensas,2017/2018,2811.5,2017-10-23,1.91,1.87,2.06,87905000,213.36898395721923,481283.42245989305,8121
2016-05-04,0,0,1350,150000.0,Chuvas Intensas,2016/2017,2933.1,2016-04-27,2.35,2.05,2.25,87905000,658.5365853658537,73170.73170731709,8121
2015-10-23,0,0,1900,495090.0,Chuvas Intensas,2015/2016,3752.1,2015-07-21,4.07,4.72,4.49,87905000,402.542372881356,104891.94915254238,8121
2015-07-30,0,0,912,785089.0,Chuvas Intensas,2015/2016,3752.1,2015-07-21,4.07,4.72,4.49,87905000,193.22033898305085,166332.4152542373,8121
2014-07-24,0,0,77,3394000.0,Chuvas Intensas,2014/2015,3040.4,2014-07-25,2.44,2.24,2.45,87905000,34.375,1515178.5714285714,8121
2013-02-22,0,0,60,3075000.0,Enxurradas,2013/2014,2686.0,2013-10-28,1.61,1.72,1.88,87905000,34.88372093023256,1787790.6976744186,8121
2012-09-19,0,0,2254,0.0,Enxurradas,2012/2013,3117.1,2012-09-19,2.54,2.4,2.6,87905000,939.1666666666669,,8121
2010-11-20,0,0,0,0.0,Inundações,2010/2011,2453.1,2010-07-23,1.45,1.5,1.61,87905000,,,8121
2009-11-18,0,0,102,0.0,Inundações,2009/2010,4710.9,2009-11-20,10.17,20.29,11.22,87905000,5.027106949236077,,8121
2002-10-05,0,0,0,0.0,Inundações,2002/2003,4006.0,2002-12-07,6.1,6.6,5.68,87905000,,,8121
2002-04-26,0,0,182,0.0,Inundações,2002/2003,4006.0,2002-12-07,6.1,6.6,5.68,87905000,27.575757575757574,,8121
2001-05-18,0,0,0,0.0,Enxurradas,2001/2002,4197.4,2001-09-09,7.62,8.71,6.81,87905000,,,8121
1995-09-04,0,0,0,0.0,Enxurradas,1995/1996,4295.3,1995-07-20,8.71,10.12,7.48,87905000,,,8121
1992-04-28,0,0,0,0.0,Inundações,1992/1993,4915.0,1992-04-15,20.33,29.55,13.74,87905000,,,8121
2023-09-13,1,0,169,901690.0,Chuvas Intensas,2023/2024,4946.4,2023-09-14,61.0,31.37,14.18,87905000,5.387312719158431,28743.704175964296,8121
2019-11-08,0,0,829,277188.0,Chuvas Intensas,2019/2020,3448.7,2019-11-01,3.39,3.32,3.43,87905000,249.6987951807229,83490.36144578314,8121
2017-06-02,0,0,1664,892008.0,Chuvas Intensas,2017/2018,2811.5,2017-10-23,1.91,1.87,2.06,87905000,889.8395721925133,477009.6256684492,8121
2017-03-15,0,0,399,900000.0,Chuvas Intensas,2017/2018,2811.5,2017-10-23,1.91,1.87,2.06,87905000,213.36898395721923,481283.42245989305,8121
2016-05-04,0,0,1350,150000.0,Chuvas Intensas,2016/2017,2933.1,2016-04-27,2.35,2.05,2.25,87905000,658.5365853658537,73170.73170731709,8121
2015-10-23,0,0,1900,495090.0,Chuvas Intensas,2015/2016,3752.1,2015-07-21,4.07,4.72,4.49,87905000,402.542372881356,104891.94915254238,8121
2015-07-30,0,0,912,785089.0,Chuvas Intensas,2015/2016,3752.1,2015-07-21,4.07,4.72,4.49,87905000,193.22033898305085,166332.4152542373,8121
2014-07-24,0,0,77,3394000.0,Chuvas Intensas,2014/2015,3040.4,2014-07-25,2.44,2.24,2.45,87905000,34.375,1515178.5714285714,8121
2013-02-22,0,0,60,3075000.0,Enxurradas,2013/2014,2686.0,2013-10-28,1.61,1.72,1.88,87905000,34.88372093023256,1787790.6976744186,8121
2012-09-19,0,0,2254,0.0,Enxurradas,2012/2013,3117.1,2012-09-19,2.54,2.4,2.6,87905000,939.1666666666669,,8121
2010-11-20,0,0,0,0.0,Inundações,2010/2011,2453.1,2010-07-23,1.45,1.5,1.61,87905000,,,8121
2009-11-18,0,0,102,0.0,Inundações,2009/2010,4710.9,2009-11-20,10.17,20.29,11.22,87905000,5.027106949236077,,8121
2002-10-05,0,0,0,0.0,Inundações,2002/2003,4006.0,2002-12-07,6.1,6.6,5.68,87905000,,,8121
2002-04-26,0,0,182,0.0,Inundações,2002/2003,4006.0,2002-12-07,6.1,6.6,5.68,87905000,27.575757575757574,,8121
2001-05-18,0,0,0,0.0,Enxurradas,2001/2002,4197.4,2001-09-09,7.62,8.71,6.81,87905000,,,8121
1995-09-04,0,0,0,0.0,Enxurradas,1995/1996,4295.3,1995-07-20,8.71,10.12,7.48,87905000,,,8121
1992-04-28,0,0,0,0.0,Inundações,1992/1993,4915.0,1992-04-15,20.33,29.55,13.74,87905000,,,8121
