Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-18,0,0,2826,497455.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,967.8082191780824,170361.301369863,2840
2017-06-07,0,0,2176,2166803.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,782.7338129496403,779425.5395683454,2840
2014-07-01,0,0,1804,13000.0,Chuvas Intensas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,583.8187702265373,4207.119741100324,2840
2011-06-30,0,0,0,1313500.0,Enxurradas,2011/2012,,,,,,74500000,,,2840
2009-11-22,0,0,0,1384900.0,Enxurradas,2009/2010,,,,,,74500000,,,2840
2023-10-18,0,0,2826,497455.0,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,1046.6666666666663,184242.59259259255,2840
2017-06-07,0,0,2176,2166803.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,410.5660377358491,408830.75471698114,2840
2014-07-01,0,0,1804,13000.0,Chuvas Intensas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,74.14714344430745,534.3197698314838,2840
2011-06-30,0,0,0,1313500.0,Enxurradas,2011/2012,3411.7,2011-07-22,9.44,8.14,8.73,74270000,,161363.63636363635,2840
2009-11-22,0,0,0,1384900.0,Enxurradas,2009/2010,1944.6,2009-09-29,2.18,2.17,2.12,74270000,,638202.7649769585,2840
