Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-24,0,0,58913,987265.94,Chuvas Intensas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,10053.412969283276,168475.41638225253,59561
2019-03-20,0,0,1,3398.4,Alagamentos,2019/2020,2518.2,2019-10-31,2.17,2.72,2.8,85400000,0.3676470588235294,1249.4117647058822,59561
2010-12-31,0,0,0,0.0,Enxurradas,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,85400000,,,59561
2009-12-10,0,0,0,0.0,Enxurradas,2009/2010,2497.5,2009-09-28,2.12,2.64,2.74,85400000,,,59561
2023-11-24,0,0,58913,987265.94,Chuvas Intensas,2023/2024,31203.6,2023-11-20,32.0,56.32,30.37,75550000,1046.0404829545455,17529.57990056818,59561
2019-03-20,0,0,1,3398.4,Alagamentos,2019/2020,12371.6,2019-05-14,1.78,1.62,1.68,75550000,0.6172839506172839,2097.777777777778,59561
2010-12-31,0,0,0,0.0,Enxurradas,2010/2011,15314.9,2010-04-29,2.46,2.3,2.4,75550000,,,59561
2009-12-10,0,0,0,0.0,Enxurradas,2009/2010,13304.4,2009-09-15,1.88,1.79,1.87,75550000,,,59561
2023-11-24,0,0,58913,987265.94,Chuvas Intensas,2023/2024,2480.0,2023-11-18,42.5,30.83,51.83,75230000,1910.898475510866,32022.897826792087,59561
2019-03-20,0,0,1,3398.4,Alagamentos,2019/2020,961.1,2019-11-06,2.07,1.99,1.87,75230000,0.5025125628140703,1707.7386934673368,59561
2010-12-31,0,0,0,0.0,Enxurradas,2010/2011,1027.4,2010-09-23,2.24,2.22,2.09,75230000,,,59561
2009-12-10,0,0,0,0.0,Enxurradas,2009/2010,1176.3,2009-08-10,3.27,2.86,2.74,75230000,,,59561
2023-11-24,0,0,58913,987265.94,Chuvas Intensas,2023/2024,417.1,2023-09-05,41.5,29.56,19.93,75200000,1992.9972936400543,33398.71244925575,59561
2019-03-20,0,0,1,3398.4,Alagamentos,2019/2020,172.9,2019-03-12,1.51,1.46,1.51,75200000,0.684931506849315,2327.671232876713,59561
2010-12-31,0,0,0,0.0,Enxurradas,2010/2011,156.1,2010-09-22,1.36,1.33,1.35,75200000,,,59561
2009-12-10,0,0,0,0.0,Enxurradas,2009/2010,249.2,2009-08-09,2.31,2.82,2.92,75200000,,,59561
