Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-03,0,0,4683,4039800.0,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,553.54609929078,477517.7304964539,4732,
2018-12-26,0,0,0,0.0,Enxurradas,2018/2019,3074.0,2018-10-04,1.23,1.19,1.2,86510000,,,4732,
2016-10-19,0,0,2457,3620000.0,Enxurradas,2016/2017,7597.1,2016-10-20,3.58,4.16,4.21,86510000,590.625,870192.3076923076,4732,
2014-07-11,0,0,1600,3420000.0,Enxurradas,2014/2015,5497.2,2014-06-06,2.1,2.02,2.08,86510000,792.0792079207921,1693069.306930693,4732,
2010-01-17,0,0,3815,0.0,Enxurradas,2010/2011,5326.6,2010-09-23,1.95,1.92,1.98,86510000,1986.9791666666667,,4732,
2023-09-03,0,0,4683,4039800.0,Chuvas Intensas,2023/2024,966.1,2023-11-18,14.0,18.18,12.13,86480000,257.5907590759076,222211.2211221122,4732,Sim
2018-12-26,0,0,0,0.0,Enxurradas,2018/2019,258.3,2018-11-30,1.13,1.12,1.12,86480000,,,4732,Sim
2016-10-19,0,0,2457,3620000.0,Enxurradas,2016/2017,880.7,2016-10-19,7.78,10.54,8.37,86480000,233.11195445920305,343453.51043643267,4732,Sim
2014-07-11,0,0,1600,3420000.0,Enxurradas,2014/2015,628.6,2014-09-29,2.92,2.87,3.01,86480000,557.4912891986063,1191637.6306620208,4732,Sim
2010-01-17,0,0,3815,0.0,Enxurradas,2010/2011,760.7,2010-09-22,4.12,5.33,5.05,86480000,715.7598499061913,,4732,Sim
