Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-28,0,0,3064,0.0,Chuvas Intensas,2023/2024,26138.0,2023-11-26,7.33,10.74,8.24,77150000,285.28864059590313,,2991,Sim
2021-10-14,0,0,0,10600.0,Enxurradas,2021/2022,9453.9,2021-10-20,1.05,1.09,1.08,77150000,,9724.770642201836,2991,Sim
2021-09-17,0,0,0,50000.0,Enxurradas,2021/2022,9453.9,2021-10-20,1.05,1.09,1.08,77150000,,45871.55963302752,2991,Sim
2017-06-09,0,0,0,462500.0,Alagamentos,2017/2018,27356.6,2017-06-13,8.8,14.6,10.11,77150000,,31678.082191780824,2991,Sim
2009-12-03,0,0,0,0.0,Inundações,2009/2010,21795.6,2009-12-01,4.4,4.14,4.08,77150000,,,2991,Sim
2023-09-28,0,0,3064,0.0,Chuvas Intensas,2023/2024,3021.9,2023-10-01,2.26,2.28,2.33,76500000,1343.8596491228072,,2991,
2021-10-14,0,0,0,10600.0,Enxurradas,2021/2022,3267.4,2021-09-12,2.44,2.73,2.78,76500000,,3882.7838827838823,2991,
2021-09-17,0,0,0,50000.0,Enxurradas,2021/2022,3267.4,2021-09-12,2.44,2.73,2.78,76500000,,18315.018315018315,2991,
2017-06-09,0,0,0,462500.0,Alagamentos,2017/2018,2946.5,2017-06-02,2.03,2.16,2.21,76500000,,214120.3703703704,2991,
2009-12-03,0,0,0,0.0,Inundações,2009/2010,5874.0,2009-11-26,30.5,31.96,26.76,76500000,,,2991,
