Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-05,0,0,2,2600000.0,Chuvas Intensas,2023/2024,832.5,2023-07-13,2.87,2.73,2.86,86560000,0.7326007326007326,952380.9523809524,3410,
2015-07-22,0,0,0,45095.0,Enxurradas,2015/2016,891.7,2015-09-20,3.44,3.29,3.39,86560000,,13706.686930091186,3410,
2013-12-06,0,0,442,205000.0,Chuvas Intensas,2013/2014,785.1,2013-08-25,2.39,2.38,2.5,86560000,185.7142857142857,86134.45378151261,3410,
2010-01-04,0,0,2191,4079900.0,Enxurradas,2010/2011,1020.9,2010-01-05,4.78,5.19,5.06,86560000,422.1579961464354,786107.8998073217,3410,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1283.4,2001-10-01,14.33,15.5,12.05,86560000,,,3410,
2023-09-05,0,0,2,2600000.0,Chuvas Intensas,2023/2024,906.3,2023-07-13,3.31,3.87,3.92,86500000,0.5167958656330749,671834.6253229975,3410,
2015-07-22,0,0,0,45095.0,Enxurradas,2015/2016,920.8,2015-10-09,3.91,4.05,4.1,86500000,,11134.567901234568,3410,
2013-12-06,0,0,442,205000.0,Chuvas Intensas,2013/2014,676.3,2013-09-22,2.0,2.01,2.02,86500000,219.90049751243785,101990.0497512438,3410,
2010-01-04,0,0,2191,4079900.0,Enxurradas,2010/2011,1093.4,2010-09-22,6.62,7.16,7.25,86500000,306.0055865921788,569818.43575419,3410,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1261.3,2001-10-01,10.75,12.93,12.98,86500000,,,3410,
2023-09-05,0,0,2,2600000.0,Chuvas Intensas,2023/2024,2273.8,2023-09-04,7.82,7.64,8.98,86580000,0.2617801047120419,340314.13612565445,3410,Sim
2015-07-22,0,0,0,45095.0,Enxurradas,2015/2016,1758.2,2015-10-09,3.58,4.18,4.17,86580000,,10788.277511961724,3410,Sim
2013-12-06,0,0,442,205000.0,Chuvas Intensas,2013/2014,1816.0,2013-08-25,4.53,4.48,4.53,86580000,98.66071428571428,45758.928571428565,3410,Sim
2010-01-04,0,0,2191,4079900.0,Enxurradas,2010/2011,1784.3,2010-09-22,3.91,4.32,4.32,86580000,507.17592592592587,944421.2962962964,3410,Sim
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,3942.7,2001-10-01,28.67,46.07,130.48,86580000,,,3410,Sim
2023-09-05,0,0,2,2600000.0,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,0.2364066193853427,307328.6052009456,3410,
2015-07-22,0,0,0,45095.0,Enxurradas,2015/2016,7237.2,2015-10-09,3.19,3.62,3.69,86510000,,12457.182320441989,3410,
2013-12-06,0,0,442,205000.0,Chuvas Intensas,2013/2014,7855.0,2013-08-25,4.1,4.6,4.62,86510000,96.08695652173914,44565.21739130435,3410,
2010-01-04,0,0,2191,4079900.0,Enxurradas,2010/2011,5326.6,2010-09-23,1.95,1.92,1.98,86510000,1141.1458333333337,2124947.916666667,3410,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,12763.4,2001-10-01,86.0,43.68,32.69,86510000,,,3410,
