Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-22,0,0,2560,0.0,Inundações,2023/2024,26138.0,2023-11-26,7.33,10.74,8.24,77150000,238.3612662942272,,38222,
2023-09-13,0,0,47,0.0,Inundações,2023/2024,26138.0,2023-11-26,7.33,10.74,8.24,77150000,4.376163873370577,,38222,
2019-01-11,0,0,7610,3681000.0,Enxurradas,2019/2020,15693.4,2019-01-20,1.91,1.66,1.77,77150000,4584.337349397591,2217469.8795180726,38222,
2017-08-24,0,0,4024,6058250.0,Chuvas Intensas,2017/2018,27356.6,2017-06-13,8.8,14.6,10.11,77150000,275.6164383561644,414948.6301369863,38222,
2017-05-16,0,0,3282,5179491.0,Inundações,2017/2018,27356.6,2017-06-13,8.8,14.6,10.11,77150000,224.7945205479452,354759.65753424657,38222,
2016-04-19,0,0,483,4110000.0,Chuvas Intensas,2016/2017,21896.2,2016-01-01,4.89,4.22,4.15,77150000,114.45497630331754,973933.6492890996,38222,
2015-10-21,0,0,502,2614237.0,Chuvas Intensas,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,17.97994269340974,93633.13037249284,38222,
2012-10-10,0,0,4720,0.0,Inundações,2012/2013,10880.8,2012-11-03,1.13,1.15,1.16,77150000,4104.347826086957,,38222,
2009-11-18,0,0,13140,0.0,Enxurradas,2009/2010,21795.6,2009-12-01,4.4,4.14,4.08,77150000,3173.913043478261,,38222,
2003-04-28,0,0,1427,0.0,Inundações,2003/2004,19245.0,2003-12-27,2.32,2.65,2.79,77150000,538.4905660377359,,38222,
2002-12-04,0,0,1415,0.0,Inundações,2002/2003,21561.4,2002-10-17,3.67,3.96,3.94,77150000,357.32323232323233,,38222,
2002-10-07,0,0,721,2450000.0,Inundações,2002/2003,21561.4,2002-10-17,3.67,3.96,3.94,77150000,182.07070707070707,618686.8686868687,38222,
2002-04-25,0,0,3140,103000.0,Inundações,2002/2003,21561.4,2002-10-17,3.67,3.96,3.94,77150000,792.929292929293,26010.10101010101,38222,
2001-05-02,0,0,0,0.0,Enxurradas,2001/2002,15921.1,2001-10-14,2.0,1.7,1.81,77150000,,,38222,
1995-09-04,0,0,0,0.0,Enxurradas,1995/1996,13456.3,1995-10-11,1.42,1.35,1.4,77150000,,,38222,
1994-08-09,0,0,0,0.0,Enxurradas,1994/1995,20668.0,1994-11-11,3.14,3.36,3.44,77150000,,,38222,
1993-10-01,0,0,0,0.0,Inundações,1993/1994,15437.2,1993-07-12,1.76,1.61,1.71,77150000,,,38222,
1993-05-14,0,0,0,0.0,Enxurradas,1993/1994,15437.2,1993-07-12,1.76,1.61,1.71,77150000,,,38222,
1992-04-22,0,0,0,0.0,Inundações,1992/1993,25273.2,1992-06-06,6.29,8.72,7.13,77150000,,,38222,
2023-11-22,0,0,2560,0.0,Inundações,2023/2024,2313.3,2023-11-17,3.93,3.46,3.5,76310000,739.8843930635838,,38222,Sim
2023-09-13,0,0,47,0.0,Inundações,2023/2024,2313.3,2023-11-17,3.93,3.46,3.5,76310000,13.583815028901734,,38222,Sim
2019-01-11,0,0,7610,3681000.0,Enxurradas,2019/2020,3087.5,2019-01-14,7.38,8.08,7.96,76310000,941.8316831683168,455569.306930693,38222,Sim
2017-08-24,0,0,4024,6058250.0,Chuvas Intensas,2017/2018,2185.9,2017-10-22,3.28,3.05,3.08,76310000,1319.344262295082,1986311.4754098365,38222,Sim
2017-05-16,0,0,3282,5179491.0,Inundações,2017/2018,2185.9,2017-10-22,3.28,3.05,3.08,76310000,1076.065573770492,1698193.7704918033,38222,Sim
2016-04-19,0,0,483,4110000.0,Chuvas Intensas,2016/2017,1860.9,2016-04-29,2.19,2.25,2.28,76310000,214.66666666666663,1826666.6666666667,38222,Sim
2015-10-21,0,0,502,2614237.0,Chuvas Intensas,2015/2016,3364.3,2015-12-25,8.43,11.22,10.85,76310000,44.741532976827095,232997.95008912653,38222,Sim
2012-10-10,0,0,4720,0.0,Inundações,2012/2013,1887.5,2012-10-13,2.27,2.31,2.34,76310000,2043.2900432900435,,38222,Sim
2009-11-18,0,0,13140,0.0,Enxurradas,2009/2010,3785.4,2009-11-23,14.75,18.76,17.57,76310000,700.4264392324093,,38222,Sim
2003-04-28,0,0,1427,0.0,Inundações,2003/2004,1955.4,2003-05-03,2.36,2.45,2.48,76310000,582.4489795918367,,38222,Sim
2002-12-04,0,0,1415,0.0,Inundações,2002/2003,3536.6,2002-04-28,11.8,13.82,13.2,76310000,102.38784370477568,,38222,Sim
2002-10-07,0,0,721,2450000.0,Inundações,2002/2003,3536.6,2002-04-28,11.8,13.82,13.2,76310000,52.170767004341535,177279.3053545586,38222,Sim
2002-04-25,0,0,3140,103000.0,Inundações,2002/2003,3536.6,2002-04-28,11.8,13.82,13.2,76310000,227.2069464544139,7452.966714905933,38222,Sim
2001-05-02,0,0,0,0.0,Enxurradas,2001/2002,4203.0,2001-09-06,19.67,31.68,28.52,76310000,,,38222,Sim
1995-09-04,0,0,0,0.0,Enxurradas,1995/1996,1610.0,1995-07-20,1.64,1.83,1.85,76310000,,,38222,Sim
1994-08-09,0,0,0,0.0,Enxurradas,1994/1995,1655.0,1994-08-04,1.84,1.9,1.92,76310000,,,38222,Sim
1993-10-01,0,0,0,0.0,Inundações,1993/1994,2876.4,1993-05-14,6.56,6.34,6.31,76310000,,,38222,Sim
1993-05-14,0,0,0,0.0,Enxurradas,1993/1994,2876.4,1993-05-14,6.56,6.34,6.31,76310000,,,38222,Sim
1992-04-22,0,0,0,0.0,Inundações,1992/1993,4693.5,1992-04-15,59.0,59.26,50.68,76310000,,,38222,Sim
