Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-28,0,0,3401,193487.38,Chuvas Intensas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,580.3754266211604,33018.32423208191,2958,Sim
2017-06-08,0,0,0,0.0,Inundações,2017/2018,2988.9,2017-05-28,12.43,6.12,4.73,85400000,,,2958,Sim
2017-03-13,0,0,872,86298.0,Enxurradas,2017/2018,2988.9,2017-05-28,12.43,6.12,4.73,85400000,142.48366013071896,14100.980392156862,2958,Sim
2015-10-13,0,0,15,717251.0,Enxurradas,2015/2016,3075.6,2015-12-25,17.4,7.35,5.24,85400000,2.0408163265306123,97585.17006802722,2958,Sim
2010-12-04,0,0,0,0.0,Inundações,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,85400000,,,2958,Sim
2010-01-04,0,0,2584,576000.0,Enxurradas,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,85400000,313.5922330097087,69902.91262135922,2958,Sim
2009-12-02,0,0,0,810000.0,Inundações,2009/2010,2497.5,2009-09-28,2.12,2.64,2.74,85400000,,306818.1818181818,2958,Sim
2002-10-05,0,0,20,0.0,Enxurradas,2002/2003,2526.1,2002-10-09,2.23,2.75,2.83,85400000,7.272727272727272,,2958,Sim
2001-07-23,0,0,0,0.0,Enxurradas,2001/2002,2575.4,2001-10-01,2.42,2.95,2.98,85400000,,,2958,Sim
1994-05-30,0,0,0,0.0,Enxurradas,1994/1995,2815.2,1994-07-07,4.58,4.37,3.88,85400000,,,2958,Sim
