Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-10-23,0,0,5313,2788933.81,Chuvas Intensas,2023/2024,1292.1,2023-11-18,14.5,10.6,11.79,74610000,501.2264150943397,263106.9632075472,4380,Sim
2017-06-07,0,0,2275,569620.0,Enxurradas,2017/2018,1144.8,2017-04-27,5.8,6.71,7.08,74610000,339.0461997019374,84891.20715350224,4380,Sim
2014-07-08,0,0,2764,3415200.0,Enxurradas,2014/2015,1936.6,2014-09-30,29.0,78.33,120.52,74610000,35.28660794076344,43600.153198008426,4380,Sim
2010-12-07,0,0,0,0.0,Enxurradas,2010/2011,856.2,2010-12-13,2.9,2.86,2.82,74610000,,,4380,Sim
2009-12-07,0,0,0,0.0,Enxurradas,2009/2010,1053.8,2009-11-23,3.62,5.09,5.22,74610000,,,4380,Sim
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,,,,,,74610000,,,4380,Sim
2023-10-23,0,0,5313,2788933.81,Chuvas Intensas,2023/2024,47533.7,2023-11-19,21.5,33.82,81.67,74800000,157.0963926670609,82464.03932584269,4380,
2017-06-07,0,0,2275,569620.0,Enxurradas,2017/2018,21325.1,2017-06-02,2.53,3.08,2.87,74800000,738.6363636363636,184941.55844155845,4380,
2014-07-08,0,0,2764,3415200.0,Enxurradas,2014/2015,35648.3,2014-06-29,14.33,12.04,16.74,74800000,229.5681063122924,283654.4850498339,4380,
2010-12-07,0,0,0,0.0,Enxurradas,2010/2011,27810.9,2010-04-28,6.14,5.78,6.14,74800000,,,4380,
2009-12-07,0,0,0,0.0,Enxurradas,2009/2010,12279.3,2009-11-24,1.43,1.36,1.3,74800000,,,4380,
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,26346.6,1993-07-07,5.38,5.02,5.13,74800000,,,4380,
