Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-18,0,0,5404,13170000.0,Chuvas Intensas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,394.74068663257856,962016.0701241784,23047
2023-09-04,1,0,22962,46110000.0,Chuvas Intensas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,1677.282688093499,3368151.935719504,23047
2020-07-14,0,0,2800,10937500.0,Inundações,2020/2021,14003.0,2020-07-08,69.0,21.5,22.19,86720000,130.2325581395349,508720.93023255817,23047
2011-07-20,0,7,15613,0.0,Inundações,2011/2012,13323.5,2011-07-21,34.5,17.05,17.56,86720000,915.7184750733136,,23047
2010-01-04,0,10,10653,0.0,Enxurradas,2010/2011,6296.1,2010-09-23,2.09,1.98,1.98,86720000,5380.30303030303,,23047
2008-10-26,0,0,8105,0.0,Inundações,2008/2009,12193.7,2008-10-26,7.67,11.64,11.94,86720000,696.3058419243986,,23047
2001-07-21,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86720000,,,23047
2023-11-18,0,0,5404,13170000.0,Chuvas Intensas,2023/2024,2273.8,2023-09-04,7.82,7.64,8.98,86580000,707.3298429319372,1723821.989528796,23047
2023-09-04,1,0,22962,46110000.0,Chuvas Intensas,2023/2024,2273.8,2023-09-04,7.82,7.64,8.98,86580000,3005.497382198953,6035340.314136126,23047
2020-07-14,0,0,2800,10937500.0,Inundações,2020/2021,5077.1,2020-07-08,86.0,134.94,832.16,86580000,20.74996294649474,81054.54275974508,23047
2011-07-20,0,7,15613,0.0,Inundações,2011/2012,4287.1,2011-07-21,43.0,64.59,228.84,86580000,241.72472518965785,,23047
2010-01-04,0,10,10653,0.0,Enxurradas,2010/2011,1784.3,2010-09-22,3.91,4.32,4.32,86580000,2465.972222222222,,23047
2008-10-26,0,0,8105,0.0,Inundações,2008/2009,2665.5,2008-10-26,12.29,11.93,16.59,86580000,679.3797150041911,,23047
2001-07-21,0,0,0,0.0,Enxurradas,2001/2002,3942.7,2001-10-01,28.67,46.07,130.48,86580000,,,23047
2023-11-18,0,0,5404,13170000.0,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,638.7706855791962,1556737.588652482,23047
2023-09-04,1,0,22962,46110000.0,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,2714.18439716312,5450354.609929077,23047
2020-07-14,0,0,2800,10937500.0,Inundações,2020/2021,10536.6,2020-07-08,9.56,14.83,13.15,86510000,188.80647336480104,737525.2865812542,23047
2011-07-20,0,7,15613,0.0,Inundações,2011/2012,12547.5,2011-07-21,43.0,39.22,29.9,86510000,398.0877103518613,,23047
2010-01-04,0,10,10653,0.0,Enxurradas,2010/2011,5326.6,2010-09-23,1.95,1.92,1.98,86510000,5548.4375,,23047
2008-10-26,0,0,8105,0.0,Inundações,2008/2009,10669.4,2008-10-27,14.33,15.78,13.88,86510000,513.6248415716096,,23047
2001-07-21,0,0,0,0.0,Enxurradas,2001/2002,12763.4,2001-10-01,86.0,43.68,32.69,86510000,,,23047
