Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-09-13,0,0,6000,648238.34,Chuvas Intensas,2023/2024,4946.4,2023-09-14,61.0,31.37,14.18,87905000,191.26554032515145,20664.276059929867,26039
2023-08-11,0,0,0,0.0,Chuvas Intensas,2023/2024,4946.4,2023-09-14,61.0,31.37,14.18,87905000,,,26039
2017-03-12,0,0,3256,1357807.0,Chuvas Intensas,2017/2018,2811.5,2017-10-23,1.91,1.87,2.06,87905000,1741.1764705882351,726100.0,26039
2014-07-07,0,0,0,400000.0,Chuvas Intensas,2014/2015,3040.4,2014-07-25,2.44,2.24,2.45,87905000,,178571.42857142855,26039
2013-11-19,0,0,0,256999.99,Chuvas Intensas,2013/2014,2686.0,2013-10-28,1.61,1.72,1.88,87905000,,149418.5988372093,26039
2010-11-27,0,0,0,0.0,Enxurradas,2010/2011,2453.1,2010-07-23,1.45,1.5,1.61,87905000,,,26039
2009-11-27,0,0,12510,900000.0,Enxurradas,2009/2010,4710.9,2009-11-20,10.17,20.29,11.22,87905000,616.5598817151306,44356.82602267127,26039
2002-10-11,0,0,0,66000.0,Enxurradas,2002/2003,4006.0,2002-12-07,6.1,6.6,5.68,87905000,,10000.0,26039
1994-11-09,0,0,0,0.0,Enxurradas,1994/1995,2869.4,1994-08-02,2.1,1.96,2.15,87905000,,,26039
1992-04-30,0,0,0,0.0,Enxurradas,1992/1993,4915.0,1992-04-15,20.33,29.55,13.74,87905000,,,26039
