Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-09,0,0,1530,185000.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,523.9726027397261,63356.16438356165,932
2017-06-09,0,0,245,242470.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,88.1294964028777,87219.42446043166,932
2015-12-21,0,0,0,300101.0,Enxurradas,2015/2016,21334.6,2015-07-15,5.67,2.86,8.38,74500000,,104930.4195804196,932
2014-07-15,0,0,1000,100000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,323.62459546925567,32362.45954692557,932
2011-02-25,0,0,0,133000.0,Enxurradas,2011/2012,,,,,,74500000,,,932
2010-12-07,0,0,0,0.0,Enxurradas,2010/2011,,,,,,74500000,,,932
2009-12-07,0,0,0,1479150.0,Enxurradas,2009/2010,,,,,,74500000,,,932
2023-10-09,0,0,1530,185000.0,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,566.6666666666666,68518.51851851851,932
2017-06-09,0,0,245,242470.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,46.22641509433962,45749.056603773584,932
2015-12-21,0,0,0,300101.0,Enxurradas,2015/2016,4426.1,2015-12-15,14.17,21.99,26.35,74270000,,13647.157798999546,932
2014-07-15,0,0,1000,100000.0,Enxurradas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,41.10152075626799,4110.152075626798,932
2011-02-25,0,0,0,133000.0,Enxurradas,2011/2012,3411.7,2011-07-22,9.44,8.14,8.73,74270000,,16339.066339066338,932
2010-12-07,0,0,0,0.0,Enxurradas,2010/2011,2622.4,2010-04-27,4.05,3.87,3.9,74270000,,,932
2009-12-07,0,0,0,1479150.0,Enxurradas,2009/2010,1944.6,2009-09-29,2.18,2.17,2.12,74270000,,681635.9447004609,932
